,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,32,0.6808976440429688,0.6991434,0.1,0.06991434,0.09549999982118607,2.3071043491363525
1,1,,28,0.6808976440429688,0.6991434,0.1105171,0.077267304,,
2,2,,29,0.6808976440429688,0.6991434,0.12214029,0.08539358,,
3,3,,31,0.6808976440429688,0.6991434,0.1349859,0.0943745,,
4,4,,30,0.6808976440429688,0.6991434,0.14918248,0.10429995,,
5,5,,29,0.6808976440429688,0.6991434,0.16487215,0.11526928,0.09910000115633011,2.3109378814697266
6,6,,29,0.6808976440429688,0.6991434,0.17752674,0.12411665,,
7,7,,30,0.6808976440429688,0.6991434,0.1958399,0.13692017,,
8,8,,32,0.6808976440429688,0.6991434,0.21192606,0.1481667,,
9,9,,31,0.6808976440429688,0.6991434,0.23421453,0.16374955,,
10,10,,33,0.6808976440429688,0.6991434,0.2588471,0.18097124,0.09989999979734421,2.3269846439361572
11,11,,23,0.6808976440429688,0.6991434,0.2860703,0.20000416,,
12,12,,32,0.6808976440429688,0.6991434,0.30928665,0.21623573,,
13,13,,30,0.6808976440429688,0.6991434,0.34181464,0.23897745,,
14,14,,40,0.6808976440429688,0.6991434,0.37613106,0.26296955,,
15,15,,22,0.6808976440429688,0.6991434,0.4156891,0.2906263,0.12800000607967377,2.305338144302368
16,16,,26,0.6808976440429688,0.6991434,0.44613832,0.31191468,,
17,17,,33,0.6808976440429688,0.6991434,0.48402616,0.3384037,,
18,18,,32,0.6808976440429688,0.6991434,0.53493166,0.37399393,,
19,19,,33,0.6808976440429688,0.6991434,0.5810776,0.40625656,,
20,20,,29,0.6808976440429688,0.6991434,0.5356931,0.3745263,0.13699999451637268,2.3224937915802
21,21,,26,0.6808976440429688,0.6991434,0.56858116,0.39751977,,
22,22,,35,0.6808976440429688,0.6991434,0.55056006,0.38492045,,
23,23,,41,0.6808976440429688,0.6991434,0.5400628,0.37758133,,
24,24,,28,0.6808976440429688,0.6991434,0.56115806,0.39232996,,
25,25,,31,0.6808976440429688,0.6991434,0.5366275,0.37517956,0.11580000072717667,2.301365852355957
26,26,,15,0.6808976440429688,0.6991434,0.5483725,0.38339102,,
27,27,,37,0.6808976440429688,0.6991434,0.55301464,0.38663653,,
28,28,,27,0.6808976440429688,0.6991434,0.5563145,0.38894364,,
29,29,,36,0.6808976440429688,0.6991434,0.5500678,0.38457626,,
30,30,,26,0.6808976440429688,0.6991434,0.53059155,0.37095958,0.16500000655651093,2.3057971000671387
31,31,,31,0.6808976440429688,0.6991434,0.56413704,0.3944127,,
32,32,,32,0.6808976440429688,0.6991434,0.54254,0.37931326,,
