,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,31,0.6827286071777344,0.701126,0.1,0.07011259,0.10019999742507935,2.31805419921875
1,1,,31,0.6827286071777344,0.701126,0.10987701,0.077037625,,
2,2,,36,0.6827286071777344,0.701126,0.11902611,0.0834523,,
3,3,,32,0.6827286071777344,0.701126,0.1315442,0.09222906,,
4,4,,29,0.6827286071777344,0.701126,0.14537883,0.101928875,,
5,5,,17,0.6827286071777344,0.701126,0.15875047,0.11130408,0.15070000290870667,2.286395311355591
6,6,,35,0.6827286071777344,0.701126,0.1680146,0.1177994,,
7,7,,28,0.6827286071777344,0.701126,0.18568486,0.13018848,,
8,8,,24,0.6827286071777344,0.701126,0.2019147,0.14156765,,
9,9,,30,0.6827286071777344,0.701126,0.22042875,0.15454832,,
10,10,,29,0.6827286071777344,0.701126,0.24052551,0.16863869,0.20829999446868896,2.223078489303589
11,11,,29,0.6827286071777344,0.701126,0.26523283,0.18596163,,
12,12,,26,0.6827286071777344,0.701126,0.2885858,0.20233501,,
13,13,,30,0.6827286071777344,0.701126,0.31563514,0.2213,,
14,14,,33,0.6827286071777344,0.701126,0.3488308,0.24457432,,
15,15,,28,0.6827286071777344,0.701126,0.38551766,0.27029645,0.21969999372959137,2.104876756668091
16,16,,32,0.6827286071777344,0.701126,0.42551818,0.29834184,,
17,17,,30,0.6827286071777344,0.701126,0.39643312,0.27794954,,
18,18,,36,0.6827286071777344,0.701126,0.39770982,0.27884468,,
19,19,,43,0.6827286071777344,0.701126,0.40497413,0.28393787,,
20,20,,24,0.6827286071777344,0.701126,0.40463215,0.2836981,0.26019999384880066,2.0164730548858643
21,21,,27,0.6827286071777344,0.701126,0.4178764,0.292984,,
22,22,,31,0.6827286071777344,0.701126,0.41880405,0.29363438,,
23,23,,22,0.6827286071777344,0.701126,0.39726168,0.27853048,,
24,24,,35,0.6827286071777344,0.701126,0.41243738,0.28917056,,
25,25,,21,0.6827286071777344,0.701126,0.3958574,0.2775459,0.2924000024795532,1.963210105895996
26,26,,31,0.6827286071777344,0.701126,0.39558756,0.2773567,,
27,27,,34,0.6827286071777344,0.701126,0.4053651,0.28421202,,
28,28,,29,0.6827286071777344,0.701126,0.40988716,0.28738254,,
29,29,,23,0.6827286071777344,0.701126,0.41485858,0.29086813,,
30,30,,29,0.6827286071777344,0.701126,0.4014869,0.2814929,0.3296000063419342,1.8765501976013184
31,31,,28,0.6827286071777344,0.701126,0.40771157,0.28585717,,
32,32,,45,0.6827286071777344,0.701126,0.38513488,0.27002805,,
33,33,,29,0.6827286071777344,0.701126,0.38162404,0.26756653,,
34,34,,24,0.6827286071777344,0.701126,0.37423688,0.2623872,,
35,35,,36,0.6827286071777344,0.701126,0.4064316,0.28495973,0.3409000039100647,1.8692476749420166
36,36,,31,0.6827286071777344,0.701126,0.39262512,0.27527967,,
