,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,28,0.742540069580078,0.76638657,0.1,0.07663866,0.10010000318288803,2.325207233428955
1,1,,23,0.742540069580078,0.76638657,0.10917872,0.083673105,,
2,2,,22,0.742540069580078,0.76638657,0.116985984,0.08965649,,
3,3,,29,0.742540069580078,0.76638657,0.12535636,0.09607143,,
4,4,,22,0.742540069580078,0.76638657,0.13854021,0.106175356,,
5,5,,30,0.742540069580078,0.76638657,0.1490528,0.11423206,0.10010000318288803,2.318429708480835
6,6,,33,0.742540069580078,0.76638657,0.16472882,0.12624596,,
7,7,,39,0.742540069580078,0.76638657,0.1820535,0.13952336,,
8,8,,31,0.742540069580078,0.76638657,0.20120025,0.15419717,,
9,9,,30,0.742540069580078,0.76638657,0.22210912,0.17022145,,
10,10,,30,0.742540069580078,0.76638657,0.24532285,0.18801214,0.1096000000834465,2.305328369140625
11,11,,29,0.742540069580078,0.76638657,0.2711237,0.20778556,,
12,12,,26,0.742540069580078,0.76638657,0.29596078,0.22682036,,
13,13,,33,0.742540069580078,0.76638657,0.32586023,0.24973491,,
14,14,,33,0.742540069580078,0.76638657,0.36013126,0.27599975,,
15,15,,36,0.742540069580078,0.76638657,0.39800662,0.30502692,0.11089999973773956,2.319869041442871
16,16,,34,0.742540069580078,0.76638657,0.43986535,0.33710688,,
17,17,,22,0.742540069580078,0.76638657,0.48612642,0.37256077,,
18,18,,27,0.742540069580078,0.76638657,0.5127143,0.39293736,,
19,19,,26,0.742540069580078,0.76638657,0.5427694,0.41597116,,
20,20,,32,0.742540069580078,0.76638657,0.5804812,0.44487298,0.12460000067949295,2.334663152694702
21,21,,30,0.742540069580078,0.76638657,0.56489265,0.43292615,,
22,22,,22,0.742540069580078,0.76638657,0.5384822,0.4126855,,
23,23,,28,0.742540069580078,0.76638657,0.55090207,0.42220396,,
24,24,,45,0.742540069580078,0.76638657,0.5509628,0.42225048,,
25,25,,40,0.742540069580078,0.76638657,0.58583987,0.4489798,0.1143999993801117,2.316603183746338
26,26,,28,0.742540069580078,0.76638657,0.5635318,0.43188322,,
27,27,,38,0.742540069580078,0.76638657,0.5502122,0.42167524,,
28,28,,33,0.742540069580078,0.76638657,0.5398132,0.4137056,,
29,29,,32,0.742540069580078,0.76638657,0.56491154,0.43294063,,
30,30,,35,0.742540069580078,0.76638657,0.56268144,0.4312315,0.12809999287128448,2.3079731464385986
31,31,,33,0.742540069580078,0.76638657,0.5861728,0.44923496,,
32,32,,44,0.742540069580078,0.76638657,0.56109434,0.43001518,,
33,33,,28,0.742540069580078,0.76638657,0.528414,0.4049694,,
34,34,,27,0.742540069580078,0.76638657,0.56849384,0.43568605,,
35,35,,31,0.742540069580078,0.76638657,0.56217504,0.43084338,0.15049999952316284,2.2448816299438477
36,36,,22,0.742540069580078,0.76638657,0.53368795,0.40901127,,
37,37,,25,0.742540069580078,0.76638657,0.5267755,0.40371364,,
38,38,,26,0.742540069580078,0.76638657,0.5282709,0.40485972,,
39,39,,33,0.742540069580078,0.76638657,0.54037803,0.41413847,,
40,40,,30,0.742540069580078,0.76638657,0.5513752,0.42256656,0.22269999980926514,2.2168192863464355
41,41,,26,0.742540069580078,0.76638657,0.5346504,0.40974888,,
42,42,,27,0.742540069580078,0.76638657,0.5490949,0.42081895,,
43,43,,39,0.742540069580078,0.76638657,0.5485063,0.42036787,,
44,44,,36,0.742540069580078,0.76638657,0.5374477,0.41189268,,
45,45,,35,0.742540069580078,0.76638657,0.54940563,0.4210571,0.1736000031232834,2.223043441772461
46,46,,34,0.742540069580078,0.76638657,0.54524404,0.41786772,,
47,47,,32,0.742540069580078,0.76638657,0.58834857,0.45090243,,
48,48,,42,0.742540069580078,0.76638657,0.5405299,0.41425487,,
49,49,,41,0.742540069580078,0.76638657,0.52675444,0.40369752,,
50,50,,30,0.742540069580078,0.76638657,0.5440854,0.41697973,0.23520000278949738,2.130570650100708
51,51,,29,0.742540069580078,0.76638657,0.51993066,0.39846787,,
52,52,,20,0.742540069580078,0.76638657,0.524944,0.40231004,,
53,53,,31,0.742540069580078,0.76638657,0.5358072,0.41063544,,
54,54,,23,0.742540069580078,0.76638657,0.523425,0.40114588,,
55,55,,33,0.742540069580078,0.76638657,0.53821266,0.41247895,0.21130000054836273,2.1491711139678955
56,56,,28,0.742540069580078,0.76638657,0.56922096,0.4362433,,
