,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,27,0.7559671325683593,0.7811756,0.1,0.07811756,0.0851999968290329,2.308830976486206
1,1,,35,0.7559671325683593,0.7811756,0.1105171,0.08633326,,
2,2,,37,0.7559671325683593,0.7811756,0.12214029,0.095413014,,
3,3,,26,0.7559671325683593,0.7811756,0.1349859,0.10544769,,
4,4,,36,0.7559671325683593,0.7811756,0.14492139,0.113209054,,
5,5,,22,0.7559671325683593,0.7811756,0.16016291,0.12511536,0.10540000349283218,2.293771505355835
6,6,,28,0.7559671325683593,0.7811756,0.17489034,0.13662007,,
7,7,,34,0.7559671325683593,0.7811756,0.19019955,0.14857925,,
8,8,,25,0.7559671325683593,0.7811756,0.21020302,0.16420548,,
9,9,,34,0.7559671325683593,0.7811756,0.22735904,0.17760734,,
10,10,,37,0.7559671325683593,0.7811756,0.25127062,0.19628648,0.1754000037908554,2.255051612854004
11,11,,31,0.7559671325683593,0.7811756,0.277697,0.21693012,,
12,12,,32,0.7559671325683593,0.7811756,0.30690265,0.23974486,,
13,13,,27,0.7559671325683593,0.7811756,0.3391799,0.26495907,,
14,14,,37,0.7559671325683593,0.7811756,0.3725276,0.2910095,,
15,15,,26,0.7559671325683593,0.7811756,0.4117067,0.32161522,0.22380000352859497,2.101351261138916
16,16,,19,0.7559671325683593,0.7811756,0.42784148,0.33421934,,
17,17,,31,0.7559671325683593,0.7811756,0.4226012,0.33012575,,
18,18,,41,0.7559671325683593,0.7811756,0.42786828,0.33424026,,
19,19,,30,0.7559671325683593,0.7811756,0.400258,0.31267178,,
20,20,,40,0.7559671325683593,0.7811756,0.41472027,0.32396936,0.24210000038146973,2.055577278137207
21,21,,30,0.7559671325683593,0.7811756,0.43054044,0.3363277,,
22,22,,29,0.7559671325683593,0.7811756,0.44334167,0.3463277,,
23,23,,30,0.7559671325683593,0.7811756,0.43975258,0.34352398,,
24,24,,26,0.7559671325683593,0.7811756,0.4310561,0.3367305,,
25,25,,33,0.7559671325683593,0.7811756,0.3916182,0.30592257,0.2565000057220459,1.9974929094314575
26,26,,26,0.7559671325683593,0.7811756,0.4134671,0.32299042,,
27,27,,33,0.7559671325683593,0.7811756,0.4042045,0.31575468,,
28,28,,21,0.7559671325683593,0.7811756,0.39932513,0.31194305,,
29,29,,37,0.7559671325683593,0.7811756,0.4106227,0.32076842,,
30,30,,29,0.7559671325683593,0.7811756,0.4239504,0.3311797,0.27790001034736633,2.0427019596099854
31,31,,36,0.7559671325683593,0.7811756,0.3854657,0.3011164,,
32,32,,23,0.7559671325683593,0.7811756,0.3645354,0.28476617,,
33,33,,35,0.7559671325683593,0.7811756,0.36950588,0.288649,,
34,34,,27,0.7559671325683593,0.7811756,0.4083672,0.31900647,,
35,35,,23,0.7559671325683593,0.7811756,0.40210098,0.31411147,0.32749998569488525,1.9054046869277954
36,36,,31,0.7559671325683593,0.7811756,0.4079278,0.31866327,,
37,37,,31,0.7559671325683593,0.7811756,0.38210148,0.29848835,,
