,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,,,,,0.10000000149011612,2.306103229522705
1,1,,30,,,,,,
2,2,,30,,,,,,
3,3,,30,,,,,,
4,4,,30,,,,,,
5,5,,30,,,,,0.13120000064373016,2.315809488296509
6,6,,30,,,,,,
7,7,,30,,,,,,
8,8,,30,,,,,,
9,9,,30,,,,,,
10,10,,30,,,,,0.1542000025510788,2.3179802894592285
11,11,,30,,,,,,
12,12,,30,,,,,,
13,13,,30,,,,,,
14,14,,30,,,,,,
15,15,,30,,,,,0.1421000063419342,2.259634494781494
16,16,,30,,,,,,
17,17,,30,,,,,,
18,18,,30,,,,,,
19,19,,30,,,,,,
20,20,,30,,,,,0.14800000190734863,2.2347543239593506
21,21,,30,,,,,,
22,22,,30,,,,,,
23,23,,30,,,,,,
24,24,,30,,,,,,
25,25,,30,,,,,0.19509999454021454,2.212446689605713
26,26,,30,,,,,,
27,27,,30,,,,,,
28,28,,30,,,,,,
29,29,,30,,,,,,
30,30,,30,,,,,0.1923000067472458,2.141634464263916
31,31,,30,,,,,,
32,32,,30,,,,,,
33,33,,30,,,,,,
34,34,,30,,,,,,
35,35,,30,,,,,0.24140000343322754,2.0730834007263184
36,36,,30,,,,,,
37,37,,30,,,,,,
38,38,,30,,,,,,
39,39,,30,,,,,,
40,40,,30,,,,,0.21699999272823334,2.0986809730529785
41,41,,30,,,,,,
42,42,,30,,,,,,
43,43,,30,,,,,,
44,44,,30,,,,,,
45,45,,30,,,,,0.22830000519752502,2.055169105529785
46,46,,30,,,,,,
47,47,,30,,,,,,
48,48,,30,,,,,,
49,49,,30,,,,,,
50,50,,30,,,,,0.26739999651908875,1.9917181730270386
51,51,,30,,,,,,
52,52,,30,,,,,,
53,53,,30,,,,,,
54,54,,30,,,,,,
55,55,,30,,,,,0.24690000712871552,1.9982420206069946
56,56,,30,,,,,,
57,57,,30,,,,,,
58,58,,30,,,,,,
59,59,,30,,,,,,
60,60,,30,,,,,0.28439998626708984,1.9406521320343018
61,61,,30,,,,,,
62,62,,30,,,,,,
63,63,,30,,,,,,
64,64,,30,,,,,,
65,65,,30,,,,,0.27480000257492065,1.9705859422683716
66,66,,30,,,,,,
67,67,,30,,,,,,
68,68,,30,,,,,,
69,69,,30,,,,,,
70,70,,30,,,,,0.2612999975681305,1.9413187503814697
71,71,,30,,,,,,
