,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,43,0.5690138119983558,0.5795337,0.1,0.057953373,0.09520000219345093,2.3159396648406982
1,1,,25,0.5690138119983558,0.5795337,0.1105171,0.06404838,,
2,2,,27,0.5690138119983558,0.5795337,0.120001346,0.06954482,,
3,3,,31,0.5690138119983558,0.5795337,0.12889189,0.07469719,,
4,4,,29,0.5690138119983558,0.5795337,0.14244758,0.08255317,,
5,5,,35,0.5690138119983558,0.5795337,0.15565477,0.09020719,0.0989999994635582,2.317579507827759
6,6,,37,0.5690138119983558,0.5795337,0.17202513,0.09969436,,
7,7,,31,0.5690138119983558,0.5795337,0.19011718,0.11017931,,
8,8,,14,0.5690138119983558,0.5795337,0.21011199,0.12176698,,
9,9,,32,0.5690138119983558,0.5795337,0.22144243,0.12833335,,
10,10,,33,0.5690138119983558,0.5795337,0.24473174,0.1418303,0.08340000361204147,2.3202829360961914
11,11,,35,0.5690138119983558,0.5795337,0.2704704,0.15674672,,
12,12,,35,0.5690138119983558,0.5795337,0.29891604,0.17323191,,
13,13,,24,0.5690138119983558,0.5795337,0.33035332,0.19145088,,
14,14,,33,0.5690138119983558,0.5795337,0.35762516,0.20725583,,
15,15,,31,0.5690138119983558,0.5795337,0.39505252,0.22894625,0.10220000147819519,2.306640625
16,16,,26,0.5690138119983558,0.5795337,0.4338989,0.25145903,,
17,17,,33,0.5690138119983558,0.5795337,0.46844706,0.27148086,,
18,18,,34,0.5690138119983558,0.5795337,0.5177141,0.30003276,,
19,19,,28,0.5690138119983558,0.5795337,0.570818,0.33080828,,
20,20,,32,0.5690138119983558,0.5795337,0.5583829,0.32360172,0.1265999972820282,2.3009066581726074
21,21,,37,0.5690138119983558,0.5795337,0.56860036,0.32952306,,
22,22,,25,0.5690138119983558,0.5795337,0.54177827,0.31397876,,
23,23,,25,0.5690138119983558,0.5795337,0.5293848,0.3067963,,
24,24,,23,0.5690138119983558,0.5795337,0.5412009,0.31364414,,
25,25,,30,0.5690138119983558,0.5795337,0.54169995,0.31393337,0.1200999990105629,2.2803030014038086
26,26,,27,0.5690138119983558,0.5795337,0.5377892,0.31166697,,
27,27,,38,0.5690138119983558,0.5795337,0.55336136,0.32069156,,
28,28,,34,0.5690138119983558,0.5795337,0.5636881,0.32667625,,
29,29,,26,0.5690138119983558,0.5795337,0.5119567,0.29669616,,
30,30,,27,0.5690138119983558,0.5795337,0.5223779,0.3027356,0.1331000030040741,2.271591901779175
31,31,,30,0.5690138119983558,0.5795337,0.53130215,0.3079075,,
32,32,,25,0.5690138119983558,0.5795337,0.52435136,0.3038793,,
33,33,,26,0.5690138119983558,0.5795337,0.5355895,0.31039217,,
34,34,,28,0.5690138119983558,0.5795337,0.5218986,0.30245784,,
35,35,,24,0.5690138119983558,0.5795337,0.53587526,0.31055778,0.19030000269412994,2.213184118270874
36,36,,30,0.5690138119983558,0.5795337,0.52913,0.30664864,,
37,37,,28,0.5690138119983558,0.5795337,0.516901,0.29956156,,
38,38,,35,0.5690138119983558,0.5795337,0.53110605,0.30779386,,
39,39,,30,0.5690138119983558,0.5795337,0.5127796,0.29717305,,
40,40,,29,0.5690138119983558,0.5795337,0.53372204,0.3093099,0.16369999945163727,2.1860241889953613
41,41,,30,0.5690138119983558,0.5795337,0.506871,0.29374883,,
42,42,,32,0.5690138119983558,0.5795337,0.5277431,0.3058449,,
43,43,,23,0.5690138119983558,0.5795337,0.5296613,0.30695656,,
44,44,,37,0.5690138119983558,0.5795337,0.5219929,0.3025125,,
45,45,,29,0.5690138119983558,0.5795337,0.5366355,0.31099838,0.1890999972820282,2.196202278137207
46,46,,31,0.5690138119983558,0.5795337,0.5398903,0.31288463,,
47,47,,28,0.5690138119983558,0.5795337,0.52389205,0.3036131,,
48,48,,25,0.5690138119983558,0.5795337,0.5434777,0.31496364,,
49,49,,28,0.5690138119983558,0.5795337,0.536818,0.31110415,,
50,50,,27,0.5690138119983558,0.5795337,0.5563797,0.32244077,0.2159000039100647,2.113258123397827
51,51,,22,0.5690138119983558,0.5795337,0.52690375,0.30535847,,
52,52,,41,0.5690138119983558,0.5795337,0.524912,0.3042042,,
53,53,,38,0.5690138119983558,0.5795337,0.527551,0.3057336,,
54,54,,41,0.5690138119983558,0.5795337,0.54542845,0.31609416,,
55,55,,25,0.5690138119983558,0.5795337,0.54639083,0.3166519,0.18850000202655792,2.246199369430542
56,56,,34,0.5690138119983558,0.5795337,0.573756,0.33251092,,
57,57,,28,0.5690138119983558,0.5795337,0.5331078,0.30895394,,
58,58,,25,0.5690138119983558,0.5795337,0.5300358,0.3071736,,
59,59,,23,0.5690138119983558,0.5795337,0.52227545,0.30267623,,
60,60,,28,0.5690138119983558,0.5795337,0.5403786,0.3131676,0.22290000319480896,2.097399950027466
61,61,,35,0.5690138119983558,0.5795337,0.549039,0.3181866,,
62,62,,28,0.5690138119983558,0.5795337,0.5416514,0.31390524,,
63,63,,31,0.5690138119983558,0.5795337,0.53785217,0.31170344,,
64,64,,30,0.5690138119983558,0.5795337,0.52927876,0.30673486,,
65,65,,35,0.5690138119983558,0.5795337,0.53568244,0.31044602,0.21860000491142273,2.099546194076538
66,66,,25,0.5690138119983558,0.5795337,0.57027125,0.3304914,,
67,67,,33,0.5690138119983558,0.5795337,0.5587405,0.32380894,,
68,68,,32,0.5690138119983558,0.5795337,0.5255795,0.30459103,,
69,69,,36,0.5690138119983558,0.5795337,0.5343874,0.3096955,,
70,70,,27,0.5690138119983558,0.5795337,0.5473373,0.3172004,0.25859999656677246,2.0363681316375732
71,71,,35,0.5690138119983558,0.5795337,0.5477368,0.31743196,,
72,72,,27,0.5690138119983558,0.5795337,0.5436934,0.31508866,,
73,73,,31,0.5690138119983558,0.5795337,0.54693735,0.31696862,,
74,74,,39,0.5690138119983558,0.5795337,0.5565149,0.32251915,,
75,75,,31,0.5690138119983558,0.5795337,0.52835035,0.30619684,0.2459000051021576,2.036633014678955
76,76,,30,0.5690138119983558,0.5795337,0.537602,0.31155849,,
77,77,,31,0.5690138119983558,0.5795337,0.5414687,0.31379935,,
78,78,,28,0.5690138119983558,0.5795337,0.5523368,0.3200978,,
79,79,,29,0.5690138119983558,0.5795337,0.5449035,0.31578994,,
80,80,,18,0.5690138119983558,0.5795337,0.5676288,0.32896003,0.28029999136924744,1.9956220388412476
81,81,,19,0.5690138119983558,0.5795337,0.5610796,0.32516456,,
82,82,,25,0.5690138119983558,0.5795337,0.5482512,0.31773004,,
83,83,,26,0.5690138119983558,0.5795337,0.5472446,0.3171467,,
84,84,,28,0.5690138119983558,0.5795337,0.5336549,0.309271,,
85,85,,29,0.5690138119983558,0.5795337,0.56361747,0.3266353,0.2590000033378601,1.9932892322540283
86,86,,29,0.5690138119983558,0.5795337,0.53951985,0.31266993,,
87,87,,29,0.5690138119983558,0.5795337,0.52625567,0.3049829,,
88,88,,31,0.5690138119983558,0.5795337,0.52839637,0.3062235,,
89,89,,35,0.5690138119983558,0.5795337,0.5547448,0.3214933,,
90,90,,30,0.5690138119983558,0.5795337,0.5610433,0.32514352,0.2700999975204468,1.9894132614135742
91,91,,30,0.5690138119983558,0.5795337,0.5701633,0.33042884,,
92,92,,31,0.5690138119983558,0.5795337,0.5351616,0.3101442,,
93,93,,36,0.5690138119983558,0.5795337,0.5233007,0.3032704,,
94,94,,28,0.5690138119983558,0.5795337,0.5581361,0.32345867,,
95,95,,22,0.5690138119983558,0.5795337,0.5695688,0.33008432,0.2703999876976013,1.977076530456543
96,96,,32,0.5690138119983558,0.5795337,0.54635394,0.3166305,,
97,97,,40,0.5690138119983558,0.5795337,0.5612999,0.32529223,,
98,98,,34,0.5690138119983558,0.5795337,0.5532566,0.32063082,,
99,99,,39,0.5690138119983558,0.5795337,0.5691725,0.32985464,,
100,100,,30,0.5690138119983558,0.5795337,0.56300044,0.32627773,0.20340000092983246,2.136899709701538
101,101,,26,0.5690138119983558,0.5795337,0.5587328,0.3238045,,
102,102,,29,0.5690138119983558,0.5795337,0.5360359,0.31065086,,
103,103,,25,0.5690138119983558,0.5795337,0.5533538,0.32068717,,
104,104,,40,0.5690138119983558,0.5795337,0.55541044,0.32187906,,
105,105,,38,0.5690138119983558,0.5795337,0.559311,0.32413957,0.24140000343322754,2.0334808826446533
106,106,,31,0.5690138119983558,0.5795337,0.5545455,0.3213778,,
107,107,,32,0.5690138119983558,0.5795337,0.55552226,0.32194388,,
108,108,,34,0.5690138119983558,0.5795337,0.52726805,0.3055696,,
109,109,,33,0.5690138119983558,0.5795337,0.53457737,0.3098056,,
110,110,,21,0.5690138119983558,0.5795337,0.55587393,0.32214767,0.2460000067949295,2.003650188446045
111,111,,39,0.5690138119983558,0.5795337,0.53847146,0.31206235,,
112,112,,22,0.5690138119983558,0.5795337,0.5486936,0.31798643,,
113,113,,29,0.5690138119983558,0.5795337,0.56025326,0.32468563,,
114,114,,30,0.5690138119983558,0.5795337,0.56197405,0.3256829,,
115,115,,35,0.5690138119983558,0.5795337,0.5776832,0.3347869,0.28619998693466187,1.9420230388641357
116,116,,50,0.5690138119983558,0.5795337,0.55569875,0.32204616,,
117,117,,27,0.5690138119983558,0.5795337,0.5617084,0.32552895,,
118,118,,25,0.5690138119983558,0.5795337,0.5402516,0.31309402,,
119,119,,29,0.5690138119983558,0.5795337,0.56397647,0.32684338,,
120,120,,33,0.5690138119983558,0.5795337,0.54561406,0.31620175,0.3086000084877014,1.9376697540283203
121,121,,31,0.5690138119983558,0.5795337,0.54361075,0.31504074,,
122,122,,32,0.5690138119983558,0.5795337,0.57379174,0.33253166,,
123,123,,31,0.5690138119983558,0.5795337,0.5618634,0.32561877,,
124,124,,25,0.5690138119983558,0.5795337,0.5463775,0.31664416,,
125,125,,33,0.5690138119983558,0.5795337,0.5496386,0.3185341,0.3018999993801117,1.952100396156311
126,126,,25,0.5690138119983558,0.5795337,0.551857,0.31981972,,
127,127,,35,0.5690138119983558,0.5795337,0.5611982,0.32523325,,
