,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,26,0.5690138119983558,0.5795337,0.1,0.057953373,0.09969999641180038,2.304318428039551
1,1,,39,0.5690138119983558,0.5795337,0.10894751,0.06313875,,
2,2,,24,0.5690138119983558,0.5795337,0.12040562,0.06977911,,
3,3,,40,0.5690138119983558,0.5795337,0.12957662,0.07509402,,
4,4,,27,0.5690138119983558,0.5795337,0.14320432,0.08299173,,
5,5,,35,0.5690138119983558,0.5795337,0.15748253,0.09126644,0.13490000367164612,2.27951717376709
6,6,,37,0.5690138119983558,0.5795337,0.17404513,0.10086502,,
7,7,,29,0.5690138119983558,0.5795337,0.19234963,0.11147309,,
8,8,,19,0.5690138119983558,0.5795337,0.21108282,0.12232961,,
9,9,,46,0.5690138119983558,0.5795337,0.22566517,0.13078056,,
10,10,,38,0.5690138119983558,0.5795337,0.24939859,0.14453489,0.19269999861717224,2.2000720500946045
11,11,,31,0.5690138119983558,0.5795337,0.2756281,0.15973577,,
12,12,,34,0.5690138119983558,0.5795337,0.30461615,0.17653532,,
13,13,,24,0.5690138119983558,0.5795337,0.33665293,0.19510172,,
14,14,,31,0.5690138119983558,0.5795337,0.36124828,0.20935555,,
15,15,,38,0.5690138119983558,0.5795337,0.39924112,0.23137368,0.2305999994277954,2.081822633743286
16,16,,29,0.5690138119983558,0.5795337,0.39969426,0.2316363,,
17,17,,30,0.5690138119983558,0.5795337,0.40620103,0.23540719,,
18,18,,38,0.5690138119983558,0.5795337,0.4387602,0.2542763,,
19,19,,33,0.5690138119983558,0.5795337,0.4053459,0.2349116,,
20,20,,37,0.5690138119983558,0.5795337,0.37492108,0.2172794,0.262800008058548,1.999397873878479
21,21,,21,0.5690138119983558,0.5795337,0.4008622,0.23231314,,
22,22,,31,0.5690138119983558,0.5795337,0.397912,0.23060341,,
23,23,,39,0.5690138119983558,0.5795337,0.4025361,0.23328324,,
24,24,,23,0.5690138119983558,0.5795337,0.40285563,0.23346841,,
25,25,,22,0.5690138119983558,0.5795337,0.40651974,0.23559189,0.2897999882698059,1.9128984212875366
26,26,,34,0.5690138119983558,0.5795337,0.40943208,0.23727968,,
27,27,,30,0.5690138119983558,0.5795337,0.40465456,0.23451096,,
28,28,,33,0.5690138119983558,0.5795337,0.3751782,0.2174284,,
29,29,,31,0.5690138119983558,0.5795337,0.40920213,0.23714642,,
30,30,,27,0.5690138119983558,0.5795337,0.40522859,0.23484363,0.326200008392334,1.8513437509536743
31,31,,34,0.5690138119983558,0.5795337,0.40734038,0.23606747,,
32,32,,27,0.5690138119983558,0.5795337,0.40543643,0.23496407,,
33,33,,31,0.5690138119983558,0.5795337,0.3997283,0.23165601,,
34,34,,24,0.5690138119983558,0.5795337,0.40936536,0.23724101,,
35,35,,23,0.5690138119983558,0.5795337,0.40339148,0.23377895,0.3346000015735626,1.8151344060897827
36,36,,30,0.5690138119983558,0.5795337,0.41699365,0.24166188,,
37,37,,27,0.5690138119983558,0.5795337,0.40316954,0.23365034,,
38,38,,35,0.5690138119983558,0.5795337,0.40673283,0.23571537,,
39,39,,31,0.5690138119983558,0.5795337,0.4028137,0.23344411,,
40,40,,31,0.5690138119983558,0.5795337,0.40650117,0.23558113,0.353300005197525,1.7908945083618164
41,41,,27,0.5690138119983558,0.5795337,0.42073026,0.24382736,,
42,42,,30,0.5690138119983558,0.5795337,0.39957765,0.23156871,,
43,43,,25,0.5690138119983558,0.5795337,0.39605075,0.22952476,,
44,44,,36,0.5690138119983558,0.5795337,0.40371048,0.23396383,,
45,45,,35,0.5690138119983558,0.5795337,0.4107563,0.23804711,0.35899999737739563,1.7637476921081543
46,46,,27,0.5690138119983558,0.5795337,0.42165527,0.24436344,,
47,47,,34,0.5690138119983558,0.5795337,0.40342233,0.23379683,,
48,48,,23,0.5690138119983558,0.5795337,0.42328054,0.24530533,,
49,49,,33,0.5690138119983558,0.5795337,0.42053226,0.24371262,,
50,50,,24,0.5690138119983558,0.5795337,0.4243484,0.2459242,0.36959999799728394,1.7357501983642578
51,51,,30,0.5690138119983558,0.5795337,0.41082826,0.23808882,,
52,52,,26,0.5690138119983558,0.5795337,0.39633793,0.22969118,,
53,53,,26,0.5690138119983558,0.5795337,0.42134473,0.24418347,,
54,54,,24,0.5690138119983558,0.5795337,0.41647595,0.24136184,,
55,55,,34,0.5690138119983558,0.5795337,0.407047,0.23589745,0.3783999979496002,1.7064027786254883
56,56,,28,0.5690138119983558,0.5795337,0.41568676,0.24090448,,
57,57,,30,0.5690138119983558,0.5795337,0.40309277,0.23360585,,
58,58,,27,0.5690138119983558,0.5795337,0.4255216,0.24660411,,
59,59,,29,0.5690138119983558,0.5795337,0.41610685,0.24114794,,
60,60,,27,0.5690138119983558,0.5795337,0.4254979,0.24659036,0.39070001244544983,1.6849157810211182
61,61,,31,0.5690138119983558,0.5795337,0.4129444,0.2393152,,
62,62,,34,0.5690138119983558,0.5795337,0.37910825,0.219706,,
63,63,,28,0.5690138119983558,0.5795337,0.40369076,0.23395239,,
64,64,,34,0.5690138119983558,0.5795337,0.37062332,0.2147887,,
65,65,,25,0.5690138119983558,0.5795337,0.40692207,0.23582505,0.38530001044273376,1.6767663955688477
66,66,,29,0.5690138119983558,0.5795337,0.41406578,0.23996507,,
67,67,,30,0.5690138119983558,0.5795337,0.38825527,0.22500701,,
68,68,,26,0.5690138119983558,0.5795337,0.38880304,0.22532447,,
69,69,,33,0.5690138119983558,0.5795337,0.4164888,0.24136929,,
70,70,,26,0.5690138119983558,0.5795337,0.40117225,0.23249283,0.4059000015258789,1.6329337358474731
71,71,,29,0.5690138119983558,0.5795337,0.40707994,0.23591654,,
72,72,,39,0.5690138119983558,0.5795337,0.40185314,0.23288743,,
73,73,,35,0.5690138119983558,0.5795337,0.3806324,0.2205893,,
74,74,,31,0.5690138119983558,0.5795337,0.4016347,0.23276083,,
75,75,,27,0.5690138119983558,0.5795337,0.41721448,0.24178985,0.4009999930858612,1.6447221040725708
76,76,,15,0.5690138119983558,0.5795337,0.4110261,0.23820347,,
77,77,,29,0.5690138119983558,0.5795337,0.41955504,0.24314629,,
78,78,,29,0.5690138119983558,0.5795337,0.4284996,0.24832997,,
79,79,,33,0.5690138119983558,0.5795337,0.42016727,0.24350108,,
80,80,,38,0.5690138119983558,0.5795337,0.39131528,0.22678038,0.400299996137619,1.615761637687683
81,81,,43,0.5690138119983558,0.5795337,0.40419942,0.23424718,,
82,82,,37,0.5690138119983558,0.5795337,0.42999843,0.24919857,,
83,83,,34,0.5690138119983558,0.5795337,0.40322015,0.23367967,,
84,84,,24,0.5690138119983558,0.5795337,0.38496447,0.22309989,,
85,85,,41,0.5690138119983558,0.5795337,0.4035482,0.23386979,0.4025999903678894,1.6214354038238525
86,86,,35,0.5690138119983558,0.5795337,0.44598976,0.2584661,,
87,87,,26,0.5690138119983558,0.5795337,0.41991022,0.24335213,,
88,88,,26,0.5690138119983558,0.5795337,0.4016682,0.23278025,,
89,89,,26,0.5690138119983558,0.5795337,0.41769588,0.24206884,,
90,90,,37,0.5690138119983558,0.5795337,0.41860536,0.24259591,0.423799991607666,1.5744928121566772
91,91,,28,0.5690138119983558,0.5795337,0.40774125,0.2362998,,
92,92,,28,0.5690138119983558,0.5795337,0.40195426,0.23294604,,
93,93,,38,0.5690138119983558,0.5795337,0.42162344,0.244345,,
94,94,,25,0.5690138119983558,0.5795337,0.4249744,0.24628699,,
95,95,,21,0.5690138119983558,0.5795337,0.39868936,0.23105392,0.41519999504089355,1.585137963294983
96,96,,25,0.5690138119983558,0.5795337,0.4173369,0.2418608,,
97,97,,25,0.5690138119983558,0.5795337,0.4380913,0.25388867,,
98,98,,24,0.5690138119983558,0.5795337,0.4332756,0.25109783,,
99,99,,32,0.5690138119983558,0.5795337,0.4254141,0.2465418,,
100,100,,36,0.5690138119983558,0.5795337,0.436793,0.25313625,0.4255000054836273,1.5644665956497192
101,101,,29,0.5690138119983558,0.5795337,0.44884142,0.26011872,,
102,102,,32,0.5690138119983558,0.5795337,0.43532535,0.25228572,,
103,103,,37,0.5690138119983558,0.5795337,0.44671336,0.25888544,,
104,104,,27,0.5690138119983558,0.5795337,0.43280926,0.25082755,,
105,105,,33,0.5690138119983558,0.5795337,0.43443713,0.25177094,0.41749998927116394,1.590588092803955
106,106,,35,0.5690138119983558,0.5795337,0.43506175,0.25213295,,
107,107,,29,0.5690138119983558,0.5795337,0.46109387,0.26721942,,
108,108,,29,0.5690138119983558,0.5795337,0.46163705,0.26753423,,
109,109,,38,0.5690138119983558,0.5795337,0.42904934,0.24864855,,
110,110,,32,0.5690138119983558,0.5795337,0.4464741,0.2587468,0.4456999897956848,1.5247222185134888
111,111,,30,0.5690138119983558,0.5795337,0.46110895,0.2672282,,
112,112,,26,0.5690138119983558,0.5795337,0.43348595,0.25121972,,
113,113,,32,0.5690138119983558,0.5795337,0.4483291,0.2598218,,
114,114,,23,0.5690138119983558,0.5795337,0.4177965,0.24212715,,
115,115,,32,0.5690138119983558,0.5795337,0.41439384,0.24015519,0.44440001249313354,1.5260765552520752
116,116,,31,0.5690138119983558,0.5795337,0.44082332,0.25547197,,
117,117,,28,0.5690138119983558,0.5795337,0.39887345,0.23116061,,
118,118,,33,0.5690138119983558,0.5795337,0.42995384,0.24917275,,
119,119,,26,0.5690138119983558,0.5795337,0.44650966,0.2587674,,
120,120,,30,0.5690138119983558,0.5795337,0.41883937,0.24273153,0.42500001192092896,1.5883067846298218
121,121,,31,0.5690138119983558,0.5795337,0.40518174,0.23481646,,
122,122,,30,0.5690138119983558,0.5795337,0.43752018,0.25355768,,
123,123,,29,0.5690138119983558,0.5795337,0.39588463,0.22942849,,
124,124,,26,0.5690138119983558,0.5795337,0.43513936,0.25217792,,
125,125,,32,0.5690138119983558,0.5795337,0.4668698,0.2705668,0.430400013923645,1.5699899196624756
126,126,,27,0.5690138119983558,0.5795337,0.42745784,0.24772622,,
127,127,,36,0.5690138119983558,0.5795337,0.44282788,0.25663367,,
128,128,,31,0.5690138119983558,0.5795337,0.47216848,0.27363753,,
129,129,,23,0.5690138119983558,0.5795337,0.46117628,0.2672672,,
130,130,,21,0.5690138119983558,0.5795337,0.4507593,0.2612302,0.4300999939441681,1.5517526865005493
131,131,,25,0.5690138119983558,0.5795337,0.44129056,0.25574276,,
132,132,,38,0.5690138119983558,0.5795337,0.44759685,0.25939745,,
133,133,,35,0.5690138119983558,0.5795337,0.41781253,0.24213643,,
134,134,,33,0.5690138119983558,0.5795337,0.4413678,0.25578752,,
135,135,,34,0.5690138119983558,0.5795337,0.4527931,0.26240885,0.4336000084877014,1.5741764307022095
136,136,,30,0.5690138119983558,0.5795337,0.42727932,0.24762276,,
137,137,,18,0.5690138119983558,0.5795337,0.4068698,0.23579475,,
138,138,,28,0.5690138119983558,0.5795337,0.42605123,0.24691105,,
139,139,,29,0.5690138119983558,0.5795337,0.40095982,0.23236972,,
140,140,,33,0.5690138119983558,0.5795337,0.4373333,0.25344938,0.42899999022483826,1.542802095413208
141,141,,29,0.5690138119983558,0.5795337,0.43911335,0.254481,,
142,142,,28,0.5690138119983558,0.5795337,0.41039872,0.23783989,,
143,143,,38,0.5690138119983558,0.5795337,0.4405875,0.2553353,,
144,144,,36,0.5690138119983558,0.5795337,0.44441825,0.25755537,,
145,145,,31,0.5690138119983558,0.5795337,0.4345078,0.2518119,0.45730000734329224,1.4866070747375488
146,146,,25,0.5690138119983558,0.5795337,0.46226397,0.26789755,,
147,147,,34,0.5690138119983558,0.5795337,0.44249114,0.25643852,,
148,148,,22,0.5690138119983558,0.5795337,0.42995766,0.24917495,,
149,149,,33,0.5690138119983558,0.5795337,0.44439033,0.25753918,,
150,150,,25,0.5690138119983558,0.5795337,0.47074953,0.27281523,0.4740999937057495,1.4833706617355347
151,151,,26,0.5690138119983558,0.5795337,0.46589684,0.27000293,,
152,152,,28,0.5690138119983558,0.5795337,0.45790392,0.26537076,,
153,153,,21,0.5690138119983558,0.5795337,0.43012515,0.24927202,,
154,154,,39,0.5690138119983558,0.5795337,0.44696742,0.2590327,,
155,155,,31,0.5690138119983558,0.5795337,0.45659506,0.26461223,0.4666000008583069,1.4959996938705444
156,156,,25,0.5690138119983558,0.5795337,0.462709,0.26815546,,
157,157,,37,0.5690138119983558,0.5795337,0.43524978,0.2522419,,
158,158,,26,0.5690138119983558,0.5795337,0.46629813,0.27023548,,
159,159,,26,0.5690138119983558,0.5795337,0.46045542,0.26684943,,
160,160,,26,0.5690138119983558,0.5795337,0.48779833,0.28269556,0.4133000075817108,1.6519888639450073
161,161,,30,0.5690138119983558,0.5795337,0.44137818,0.2557935,,
162,162,,29,0.5690138119983558,0.5795337,0.46139908,0.2673963,,
163,163,,35,0.5690138119983558,0.5795337,0.4444212,0.25755706,,
164,164,,31,0.5690138119983558,0.5795337,0.43188173,0.25029,,
165,165,,24,0.5690138119983558,0.5795337,0.45827192,0.26558402,0.47450000047683716,1.4668813943862915
166,166,,31,0.5690138119983558,0.5795337,0.4574404,0.26510212,,
167,167,,33,0.5690138119983558,0.5795337,0.43716368,0.2533511,,
168,168,,28,0.5690138119983558,0.5795337,0.4467452,0.2589039,,
169,169,,24,0.5690138119983558,0.5795337,0.48277092,0.27978203,,
170,170,,19,0.5690138119983558,0.5795337,0.4632751,0.26848352,0.44269999861717224,1.563606858253479
171,171,,35,0.5690138119983558,0.5795337,0.44215596,0.25624427,,
172,172,,30,0.5690138119983558,0.5795337,0.47462496,0.27506116,,
173,173,,30,0.5690138119983558,0.5795337,0.47695237,0.27640998,,
174,174,,31,0.5690138119983558,0.5795337,0.46921006,0.27192304,,
175,175,,28,0.5690138119983558,0.5795337,0.46000817,0.26659024,0.43149998784065247,1.5540963411331177
176,176,,29,0.5690138119983558,0.5795337,0.46815884,0.27131382,,
