,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,24,0.9027696247613426,0.9466483,0.1,0.094664834,0.0869000032544136,2.3128738403320312
1,1,,28,0.9027696247613426,0.9466483,0.10749473,0.1017597,,
2,2,,30,0.9027696247613426,0.9466483,0.11880005,0.112461865,,
3,3,,38,0.9027696247613426,0.9466483,0.13129437,0.124289595,,
4,4,,31,0.9027696247613426,0.9466483,0.14510272,0.13736124,,
5,5,,29,0.9027696247613426,0.9466483,0.1588185,0.15034527,0.09560000151395798,2.3055403232574463
6,6,,29,0.9027696247613426,0.9466483,0.1755216,0.16615722,,
7,7,,22,0.9027696247613426,0.9466483,0.19268209,0.18240216,,
8,8,,31,0.9027696247613426,0.9466483,0.20784621,0.19675726,,
9,9,,23,0.9027696247613426,0.9466483,0.22797216,0.21580946,,
10,10,,26,0.9027696247613426,0.9466483,0.24745925,0.23425688,0.10180000215768814,2.304250955581665
11,11,,33,0.9027696247613426,0.9466483,0.27348477,0.25889388,,
12,12,,24,0.9027696247613426,0.9466483,0.30224743,0.28612202,,
13,13,,29,0.9027696247613426,0.9466483,0.33048633,0.31285432,,
14,14,,23,0.9027696247613426,0.9466483,0.36270216,0.3433514,,
15,15,,34,0.9027696247613426,0.9466483,0.4008194,0.379435,0.12970000505447388,2.3124303817749023
16,16,,30,0.9027696247613426,0.9466483,0.44297394,0.41934052,,
17,17,,23,0.9027696247613426,0.9466483,0.48956084,0.46344194,,
18,18,,34,0.9027696247613426,0.9466483,0.52828985,0.50010467,,
19,19,,30,0.9027696247613426,0.9466483,0.564755,0.5346244,,
20,20,,32,0.9027696247613426,0.9466483,0.53368115,0.5052084,0.13920000195503235,2.3083128929138184
21,21,,32,0.9027696247613426,0.9466483,0.5795519,0.5486318,,
22,22,,34,0.9027696247613426,0.9466483,0.56533265,0.5351712,,
23,23,,29,0.9027696247613426,0.9466483,0.5391212,0.51035815,,
24,24,,24,0.9027696247613426,0.9466483,0.5691472,0.53878224,,
25,25,,26,0.9027696247613426,0.9466483,0.55345035,0.5239228,0.15240000188350677,2.2705299854278564
26,26,,31,0.9027696247613426,0.9466483,0.54907304,0.5197791,,
27,27,,31,0.9027696247613426,0.9466483,0.5506844,0.5213044,,
28,28,,40,0.9027696247613426,0.9466483,0.58028823,0.54932886,,
29,29,,28,0.9027696247613426,0.9466483,0.5425525,0.51360637,,
30,30,,37,0.9027696247613426,0.9466483,0.5388405,0.51009244,0.13359999656677246,2.2390196323394775
31,31,,32,0.9027696247613426,0.9466483,0.5631776,0.5331311,,
32,32,,32,0.9027696247613426,0.9466483,0.5294163,0.50117105,,
33,33,,32,0.9027696247613426,0.9466483,0.54799473,0.5187583,,
34,34,,24,0.9027696247613426,0.9466483,0.5650374,0.5348917,,
35,35,,22,0.9027696247613426,0.9466483,0.5360386,0.50744003,0.1216999962925911,2.375042200088501
36,36,,30,0.9027696247613426,0.9466483,0.53772986,0.5090411,,
