,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,0.9027696247613426,0.9466483,0.1,0.094664834,0.1111999973654747,2.309267997741699
1,1,,28,0.9027696247613426,0.9466483,0.1104841,0.10458959,,
2,2,,28,0.9027696247613426,0.9466483,0.12108546,0.11462534,,
3,3,,28,0.9027696247613426,0.9466483,0.1330569,0.12595809,,
4,4,,28,0.9027696247613426,0.9466483,0.14705062,0.13920522,,
5,5,,23,0.9027696247613426,0.9466483,0.16251607,0.15384556,0.1200999990105629,2.2868709564208984
6,6,,34,0.9027696247613426,0.9466483,0.17231102,0.16311793,,
7,7,,25,0.9027696247613426,0.9466483,0.19043314,0.18027322,,
8,8,,31,0.9027696247613426,0.9466483,0.20892832,0.19778164,,
9,9,,33,0.9027696247613426,0.9466483,0.23035584,0.21806596,,
10,10,,22,0.9027696247613426,0.9466483,0.25458258,0.24100018,0.2076999992132187,2.184166193008423
11,11,,35,0.9027696247613426,0.9466483,0.2748752,0.26021013,,
12,12,,36,0.9027696247613426,0.9466483,0.30378407,0.28757668,,
13,13,,39,0.9027696247613426,0.9466483,0.33573332,0.31782138,,
14,14,,28,0.9027696247613426,0.9466483,0.37104273,0.35124698,,
15,15,,30,0.9027696247613426,0.9466483,0.4021159,0.38066235,0.21940000355243683,2.0956034660339355
16,16,,32,0.9027696247613426,0.9466483,0.42039365,0.39796492,,
17,17,,34,0.9027696247613426,0.9466483,0.4120296,0.3900471,,
18,18,,28,0.9027696247613426,0.9466483,0.4160856,0.39388672,,
19,19,,28,0.9027696247613426,0.9466483,0.4158825,0.39369446,,
20,20,,28,0.9027696247613426,0.9466483,0.43413097,0.41096935,0.24789999425411224,2.024989366531372
21,21,,37,0.9027696247613426,0.9466483,0.42979363,0.4068634,,
22,22,,29,0.9027696247613426,0.9466483,0.42475826,0.4020967,,
23,23,,29,0.9027696247613426,0.9466483,0.42186877,0.39936134,,
24,24,,29,0.9027696247613426,0.9466483,0.44472715,0.4210002,,
25,25,,33,0.9027696247613426,0.9466483,0.40240577,0.38093674,0.2685999870300293,1.9940588474273682
26,26,,27,0.9027696247613426,0.9466483,0.43986455,0.41639704,,
27,27,,30,0.9027696247613426,0.9466483,0.4254282,0.40273088,,
28,28,,27,0.9027696247613426,0.9466483,0.4198948,0.3974927,,
29,29,,38,0.9027696247613426,0.9466483,0.426717,0.40395093,,
30,30,,33,0.9027696247613426,0.9466483,0.41073698,0.38882345,0.27459999918937683,1.9875824451446533
31,31,,37,0.9027696247613426,0.9466483,0.4375626,0.41421792,,
32,32,,26,0.9027696247613426,0.9466483,0.43993926,0.41646776,,
33,33,,30,0.9027696247613426,0.9466483,0.41763026,0.39534897,,
34,34,,33,0.9027696247613426,0.9466483,0.4179718,0.3956723,,
35,35,,36,0.9027696247613426,0.9466483,0.39996472,0.37862593,0.32519999146461487,1.8966305255889893
36,36,,32,0.9027696247613426,0.9466483,0.42957392,0.40665543,,
37,37,,33,0.9027696247613426,0.9466483,0.4496344,0.42564565,,
38,38,,25,0.9027696247613426,0.9466483,0.43225476,0.40919325,,
39,39,,20,0.9027696247613426,0.9466483,0.43515402,0.4119378,,
40,40,,35,0.9027696247613426,0.9466483,0.43458197,0.41139627,0.32260000705718994,1.8795499801635742
41,41,,27,0.9027696247613426,0.9466483,0.45909354,0.4346001,,
42,42,,37,0.9027696247613426,0.9466483,0.415405,0.39324245,,
43,43,,32,0.9027696247613426,0.9466483,0.39024478,0.36942455,,
44,44,,25,0.9027696247613426,0.9466483,0.40792552,0.38616198,,
45,45,,28,0.9027696247613426,0.9466483,0.39141482,0.37053218,0.32109999656677246,1.878798246383667
46,46,,29,0.9027696247613426,0.9466483,0.4218537,0.39934707,,
47,47,,33,0.9027696247613426,0.9466483,0.43105182,0.40805447,,
48,48,,30,0.9027696247613426,0.9466483,0.44565976,0.42188305,,
49,49,,27,0.9027696247613426,0.9466483,0.413833,0.3917543,,
50,50,,40,0.9027696247613426,0.9466483,0.40693763,0.38522682,0.3434000015258789,1.8343945741653442
51,51,,26,0.9027696247613426,0.9466483,0.44652995,0.4227068,,
52,52,,19,0.9027696247613426,0.9466483,0.450136,0.4261205,,
53,53,,30,0.9027696247613426,0.9466483,0.43127453,0.4082653,,
54,54,,31,0.9027696247613426,0.9466483,0.4505034,0.42646828,,
55,55,,31,0.9027696247613426,0.9466483,0.41638437,0.39416957,0.31049999594688416,1.9100275039672852
56,56,,30,0.9027696247613426,0.9466483,0.39742786,0.3762244,,
57,57,,27,0.9027696247613426,0.9466483,0.41478205,0.39265272,,
58,58,,31,0.9027696247613426,0.9466483,0.42883125,0.40595236,,
59,59,,32,0.9027696247613426,0.9466483,0.40890324,0.38708755,,
60,60,,31,0.9027696247613426,0.9466483,0.40780544,0.38604832,0.3467000126838684,1.8225681781768799
61,61,,41,0.9027696247613426,0.9466483,0.45069474,0.42664942,,
62,62,,29,0.9027696247613426,0.9466483,0.40780547,0.38604835,,
63,63,,29,0.9027696247613426,0.9466483,0.44368616,0.42001474,,
64,64,,33,0.9027696247613426,0.9466483,0.43938297,0.41594115,,
65,65,,37,0.9027696247613426,0.9466483,0.44192395,0.41834655,0.3504999876022339,1.830183982849121
66,66,,29,0.9027696247613426,0.9466483,0.44864395,0.42470804,,
67,67,,35,0.9027696247613426,0.9466483,0.47660992,0.45118198,,
68,68,,33,0.9027696247613426,0.9466483,0.45448375,0.43023628,,
69,69,,34,0.9027696247613426,0.9466483,0.4328456,0.40975255,,
70,70,,35,0.9027696247613426,0.9466483,0.47091508,0.44579095,0.35100001096725464,1.7718998193740845
71,71,,31,0.9027696247613426,0.9466483,0.45366773,0.42946377,,
72,72,,29,0.9027696247613426,0.9466483,0.41221672,0.39022425,,
73,73,,27,0.9027696247613426,0.9466483,0.45084524,0.42679188,,
74,74,,25,0.9027696247613426,0.9466483,0.4259756,0.40324906,,
75,75,,28,0.9027696247613426,0.9466483,0.40809807,0.38632536,0.34630000591278076,1.7676904201507568
76,76,,24,0.9027696247613426,0.9466483,0.44685262,0.4230123,,
77,77,,30,0.9027696247613426,0.9466483,0.4288473,0.4059676,,
78,78,,35,0.9027696247613426,0.9466483,0.4362111,0.4129385,,
79,79,,28,0.9027696247613426,0.9466483,0.41922012,0.396854,,
80,80,,32,0.9027696247613426,0.9466483,0.42201528,0.39950004,0.3785000145435333,1.7201179265975952
81,81,,36,0.9027696247613426,0.9466483,0.46639904,0.44151586,,
82,82,,36,0.9027696247613426,0.9466483,0.43371925,0.4105796,,
83,83,,36,0.9027696247613426,0.9466483,0.42206526,0.39954737,,
84,84,,30,0.9027696247613426,0.9466483,0.46645427,0.44156814,,
85,85,,29,0.9027696247613426,0.9466483,0.46714267,0.44221982,0.31290000677108765,1.8733479976654053
86,86,,28,0.9027696247613426,0.9466483,0.42696685,0.40418744,,
87,87,,29,0.9027696247613426,0.9466483,0.43857127,0.41517276,,
88,88,,35,0.9027696247613426,0.9466483,0.45908016,0.43458745,,
89,89,,20,0.9027696247613426,0.9466483,0.42777112,0.4049488,,
90,90,,32,0.9027696247613426,0.9466483,0.4305186,0.4075497,0.38440001010894775,1.6904869079589844
91,91,,29,0.9027696247613426,0.9466483,0.46357313,0.43884072,,
