,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,38,0.835919189453125,0.8703904,0.1,0.08703904,0.09975019842386246,2.3107330799102783
1,1,,28,0.835919189453125,0.8703904,0.1105171,0.09619302,,
2,2,,30,0.835919189453125,0.8703904,0.12005897,0.10449818,,
3,3,,36,0.835919189453125,0.8703904,0.1326852,0.115487926,,
4,4,,34,0.835919189453125,0.8703904,0.14663982,0.1276339,,
5,5,,32,0.835919189453125,0.8703904,0.16206208,0.14105728,0.1252204179763794,2.298781156539917
6,6,,32,0.835919189453125,0.8703904,0.17830698,0.15519668,,
7,7,,31,0.835919189453125,0.8703904,0.1970597,0.17151888,,
8,8,,36,0.835919189453125,0.8703904,0.21778466,0.18955767,,
9,9,,23,0.835919189453125,0.8703904,0.24068928,0.20949364,,
10,10,,37,0.835919189453125,0.8703904,0.26388648,0.22968426,0.22874216735363007,2.274357795715332
11,11,,30,0.835919189453125,0.8703904,0.2916397,0.2538404,,
12,12,,27,0.835919189453125,0.8703904,0.3223117,0.280537,,
13,13,,25,0.835919189453125,0.8703904,0.34802264,0.30291557,,
14,14,,38,0.835919189453125,0.8703904,0.36912885,0.3212862,,
15,15,,25,0.835919189453125,0.8703904,0.3890908,0.3386609,0.3023608922958374,2.145101308822632
16,16,,33,0.835919189453125,0.8703904,0.39078397,0.34013462,,
17,17,,28,0.835919189453125,0.8703904,0.40013215,0.3482712,,
18,18,,25,0.835919189453125,0.8703904,0.38618982,0.33613592,,
19,19,,34,0.835919189453125,0.8703904,0.395388,0.34414193,,
20,20,,29,0.835919189453125,0.8703904,0.37312132,0.3247612,0.31115302443504333,1.995067834854126
21,21,,33,0.835919189453125,0.8703904,0.3498706,0.304524,,
22,22,,23,0.835919189453125,0.8703904,0.3486726,0.30348128,,
23,23,,20,0.835919189453125,0.8703904,0.3359435,0.292402,,
24,24,,32,0.835919189453125,0.8703904,0.33980983,0.29576722,,
25,25,,30,0.835919189453125,0.8703904,0.3451847,0.30044547,0.4259404242038727,1.7082058191299438
26,26,,28,0.835919189453125,0.8703904,0.3391726,0.29521257,,
27,27,,30,0.835919189453125,0.8703904,0.30689606,0.26711938,,
28,28,,33,0.835919189453125,0.8703904,0.3061433,0.2664642,,
29,29,,27,0.835919189453125,0.8703904,0.32965103,0.2869251,,
30,30,,32,0.835919189453125,0.8703904,0.34633574,0.3014473,0.4999755024909973,1.539207100868225
31,31,,21,0.835919189453125,0.8703904,0.36140943,0.3145673,,
32,32,,30,0.835919189453125,0.8703904,0.35239872,0.30672446,,
33,33,,19,0.835919189453125,0.8703904,0.34721342,0.30221123,,
34,34,,18,0.835919189453125,0.8703904,0.34389436,0.29932237,,
35,35,,36,0.835919189453125,0.8703904,0.33795395,0.29415187,0.5309316515922546,1.4101743698120117
36,36,,26,0.835919189453125,0.8703904,0.3339325,0.29065165,,
37,37,,32,0.835919189453125,0.8703904,0.3407637,0.29659745,,
38,38,,28,0.835919189453125,0.8703904,0.3324945,0.2894,,
39,39,,34,0.835919189453125,0.8703904,0.34193462,0.29761663,,
40,40,,27,0.835919189453125,0.8703904,0.32793555,0.28543195,0.5944847464561462,1.2300318479537964
41,41,,26,0.835919189453125,0.8703904,0.33686063,0.29320025,,
42,42,,24,0.835919189453125,0.8703904,0.34968567,0.30436304,,
43,43,,27,0.835919189453125,0.8703904,0.34423885,0.2996222,,
44,44,,26,0.835919189453125,0.8703904,0.34638613,0.30149117,,
45,45,,30,0.835919189453125,0.8703904,0.3510868,0.30558258,0.647090494632721,1.094711422920227
46,46,,27,0.835919189453125,0.8703904,0.35146788,0.30591428,,
47,47,,31,0.835919189453125,0.8703904,0.34524345,0.3004966,,
48,48,,34,0.835919189453125,0.8703904,0.35284138,0.30710974,,
49,49,,32,0.835919189453125,0.8703904,0.35981256,0.3131774,,
50,50,,29,0.835919189453125,0.8703904,0.35462084,0.30865857,0.6846346259117126,0.9819162487983704
51,51,,36,0.835919189453125,0.8703904,0.374634,0.32607785,,
52,52,,35,0.835919189453125,0.8703904,0.37590742,0.32718623,,
53,53,,26,0.835919189453125,0.8703904,0.38024935,0.3309654,,
54,54,,31,0.835919189453125,0.8703904,0.3757708,0.32706732,,
55,55,,41,0.835919189453125,0.8703904,0.36723596,0.31963867,0.720366358757019,0.8900514841079712
56,56,,32,0.835919189453125,0.8703904,0.35118687,0.3056697,,
57,57,,30,0.835919189453125,0.8703904,0.3681456,0.32043043,,
58,58,,30,0.835919189453125,0.8703904,0.37147313,0.32332665,,
59,59,,23,0.835919189453125,0.8703904,0.38463584,0.33478335,,
60,60,,25,0.835919189453125,0.8703904,0.38455516,0.33471313,0.6382248997688293,1.0788815021514893
61,61,,45,0.835919189453125,0.8703904,0.37993512,0.33069187,,
62,62,,41,0.835919189453125,0.8703904,0.39201638,0.3412073,,
63,63,,27,0.835919189453125,0.8703904,0.36701477,0.31944615,,
64,64,,32,0.835919189453125,0.8703904,0.37299675,0.3246528,,
65,65,,31,0.835919189453125,0.8703904,0.37503704,0.32642865,0.760359525680542,0.7707456946372986
66,66,,27,0.835919189453125,0.8703904,0.38008305,0.33082065,,
67,67,,25,0.835919189453125,0.8703904,0.39382514,0.34278163,,
68,68,,35,0.835919189453125,0.8703904,0.39344123,0.3424475,,
69,69,,27,0.835919189453125,0.8703904,0.37692696,0.32807362,,
70,70,,25,0.835919189453125,0.8703904,0.37262866,0.32433242,0.7970709204673767,0.6540728807449341
71,71,,34,0.835919189453125,0.8703904,0.38716123,0.33698142,,
72,72,,33,0.835919189453125,0.8703904,0.40938842,0.35632777,,
73,73,,36,0.835919189453125,0.8703904,0.38265374,0.33305815,,
74,74,,25,0.835919189453125,0.8703904,0.38140774,0.33197364,,
75,75,,21,0.835919189453125,0.8703904,0.38331455,0.3336333,0.825920820236206,0.5707184076309204
76,76,,35,0.835919189453125,0.8703904,0.39343312,0.34244043,,
77,77,,24,0.835919189453125,0.8703904,0.38598704,0.33595943,,
78,78,,29,0.835919189453125,0.8703904,0.39703295,0.34557366,,
79,79,,31,0.835919189453125,0.8703904,0.39112818,0.34043422,,
80,80,,33,0.835919189453125,0.8703904,0.39109057,0.34040147,0.8286637663841248,0.5724748969078064
81,81,,30,0.835919189453125,0.8703904,0.37426406,0.32575586,,
82,82,,26,0.835919189453125,0.8703904,0.37301925,0.32467237,,
83,83,,32,0.835919189453125,0.8703904,0.36775365,0.32008925,,
84,84,,26,0.835919189453125,0.8703904,0.37294358,0.3246065,,
85,85,,31,0.835919189453125,0.8703904,0.37841475,0.32936856,0.8629996180534363,0.45557713508605957
86,86,,36,0.835919189453125,0.8703904,0.36901197,0.3211845,,
87,87,,35,0.835919189453125,0.8703904,0.37421155,0.32571015,,
88,88,,23,0.835919189453125,0.8703904,0.36459237,0.31733772,,
89,89,,32,0.835919189453125,0.8703904,0.3653365,0.3179854,,
90,90,,26,0.835919189453125,0.8703904,0.37435314,0.32583338,0.8691956996917725,0.4308107793331146
91,91,,33,0.835919189453125,0.8703904,0.38026252,0.33097684,,
92,92,,32,0.835919189453125,0.8703904,0.37692553,0.32807237,,
93,93,,29,0.835919189453125,0.8703904,0.3662177,0.31875238,,
94,94,,37,0.835919189453125,0.8703904,0.36973372,0.3218127,,
95,95,,30,0.835919189453125,0.8703904,0.3724646,0.3241896,0.8771551847457886,0.4077431559562683
96,96,,30,0.835919189453125,0.8703904,0.36852488,0.32076052,,
97,97,,26,0.835919189453125,0.8703904,0.35455152,0.30859825,,
98,98,,41,0.835919189453125,0.8703904,0.36632264,0.31884372,,
99,99,,37,0.835919189453125,0.8703904,0.37305754,0.32470572,,
100,100,,33,0.835919189453125,0.8703904,0.36459994,0.3173443,0.8823226690292358,0.38743752241134644
101,101,,25,0.835919189453125,0.8703904,0.37763163,0.32868695,,
102,102,,34,0.835919189453125,0.8703904,0.38773754,0.33748305,,
103,103,,29,0.835919189453125,0.8703904,0.36425483,0.3170439,,
104,104,,32,0.835919189453125,0.8703904,0.35887003,0.31235704,,
105,105,,28,0.835919189453125,0.8703904,0.3671402,0.3195553,0.8873677253723145,0.3727249801158905
106,106,,34,0.835919189453125,0.8703904,0.37492746,0.32633325,,
107,107,,25,0.835919189453125,0.8703904,0.38119748,0.33179063,,
108,108,,33,0.835919189453125,0.8703904,0.36868984,0.3209041,,
109,109,,26,0.835919189453125,0.8703904,0.35920528,0.31264883,,
110,110,,46,0.835919189453125,0.8703904,0.36753118,0.31989563,0.8985109925270081,0.3382907807826996
111,111,,33,0.835919189453125,0.8703904,0.38300022,0.33335972,,
112,112,,31,0.835919189453125,0.8703904,0.38155714,0.33210367,,
113,113,,34,0.835919189453125,0.8703904,0.38460988,0.33476076,,
114,114,,34,0.835919189453125,0.8703904,0.37701344,0.3281489,,
115,115,,22,0.835919189453125,0.8703904,0.3707664,0.32271153,0.9039968848228455,0.3199763000011444
116,116,,28,0.835919189453125,0.8703904,0.36314112,0.31607455,,
117,117,,33,0.835919189453125,0.8703904,0.36075515,0.31399783,,
118,118,,43,0.835919189453125,0.8703904,0.36678132,0.31924295,,
119,119,,23,0.835919189453125,0.8703904,0.37321395,0.32484186,,
120,120,,34,0.835919189453125,0.8703904,0.37001622,0.32205856,0.9066663384437561,0.31197643280029297
121,121,,33,0.835919189453125,0.8703904,0.38109428,0.3317008,,
122,122,,31,0.835919189453125,0.8703904,0.37510797,0.32649037,,
123,123,,31,0.835919189453125,0.8703904,0.37095118,0.32287234,,
124,124,,29,0.835919189453125,0.8703904,0.38623375,0.33617416,,
125,125,,31,0.835919189453125,0.8703904,0.37833562,0.3292997,0.9058336615562439,0.3110214173793793
126,126,,18,0.835919189453125,0.8703904,0.37431082,0.32579654,,
127,127,,37,0.835919189453125,0.8703904,0.3738086,0.3253594,,
128,128,,36,0.835919189453125,0.8703904,0.40270737,0.35051262,,
129,129,,40,0.835919189453125,0.8703904,0.375112,0.3264939,,
130,130,,36,0.835919189453125,0.8703904,0.3965676,0.34516865,0.9077684283256531,0.307504266500473
131,131,,21,0.835919189453125,0.8703904,0.37805367,0.3290543,,
132,132,,31,0.835919189453125,0.8703904,0.37660182,0.32779062,,
133,133,,34,0.835919189453125,0.8703904,0.3932839,0.34231055,,
134,134,,25,0.835919189453125,0.8703904,0.38338563,0.33369517,,
135,135,,42,0.835919189453125,0.8703904,0.38743845,0.3372227,0.9052948951721191,0.3177379369735718
136,136,,36,0.835919189453125,0.8703904,0.38650915,0.33641386,,
137,137,,35,0.835919189453125,0.8703904,0.38224107,0.33269897,,
138,138,,33,0.835919189453125,0.8703904,0.379149,0.33000764,,
139,139,,32,0.835919189453125,0.8703904,0.37506586,0.32645375,,
140,140,,30,0.835919189453125,0.8703904,0.37539336,0.32673877,0.9110746383666992,0.2899402379989624
141,141,,29,0.835919189453125,0.8703904,0.3872439,0.3370534,,
142,142,,26,0.835919189453125,0.8703904,0.38126212,0.3318469,,
143,143,,35,0.835919189453125,0.8703904,0.37215304,0.32391843,,
144,144,,32,0.835919189453125,0.8703904,0.37537038,0.32671878,,
145,145,,35,0.835919189453125,0.8703904,0.37532127,0.32667604,0.9198668003082275,0.266065388917923
146,146,,29,0.835919189453125,0.8703904,0.39284042,0.34192452,,
147,147,,36,0.835919189453125,0.8703904,0.382705,0.33310276,,
148,148,,27,0.835919189453125,0.8703904,0.37731695,0.32841307,,
149,149,,32,0.835919189453125,0.8703904,0.37078878,0.322731,,
150,150,,35,0.835919189453125,0.8703904,0.38917685,0.3387358,0.9191075563430786,0.2706781029701233
151,151,,18,0.835919189453125,0.8703904,0.3885433,0.33818436,,
152,152,,27,0.835919189453125,0.8703904,0.40221438,0.35008353,,
153,153,,22,0.835919189453125,0.8703904,0.3878663,0.3375951,,
154,154,,28,0.835919189453125,0.8703904,0.38579655,0.3357936,,
155,155,,30,0.835919189453125,0.8703904,0.39188018,0.34108874,0.9205769896507263,0.2685902714729309
156,156,,25,0.835919189453125,0.8703904,0.39497843,0.34378543,,
