,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,34,0.8383604736328125,0.8731473,0.1,0.08731473,0.10072982311248779,2.312953233718872
1,1,,35,0.8383604736328125,0.8731473,0.1105171,0.09649771,,
2,2,,33,0.8383604736328125,0.8731473,0.12214029,0.10664646,,
3,3,,27,0.8383604736328125,0.8731473,0.1349859,0.11786257,,
4,4,,27,0.8383604736328125,0.8731473,0.14918248,0.13025828,,
5,5,,23,0.8383604736328125,0.8731473,0.16252457,0.14190789,0.1125342845916748,2.2983345985412598
6,6,,28,0.8383604736328125,0.8731473,0.17904297,0.15633088,,
7,7,,24,0.8383604736328125,0.8731473,0.19374886,0.1691713,,
8,8,,23,0.8383604736328125,0.8731473,0.20622216,0.18006232,,
9,9,,28,0.8383604736328125,0.8731473,0.22108582,0.19304049,,
10,10,,36,0.8383604736328125,0.8731473,0.2429197,0.21210468,0.1332288384437561,2.2924551963806152
11,11,,26,0.8383604736328125,0.8731473,0.26846778,0.23441193,,
12,12,,25,0.8383604736328125,0.8731473,0.2967028,0.25906524,,
13,13,,27,0.8383604736328125,0.8731473,0.31592873,0.27585232,,
14,14,,34,0.8383604736328125,0.8731473,0.33919927,0.29617092,,
15,15,,26,0.8383604736328125,0.8731473,0.32865915,0.28696784,0.25031837821006775,2.246354818344116
16,16,,33,0.8383604736328125,0.8731473,0.34525397,0.30145758,,
17,17,,21,0.8383604736328125,0.8731473,0.3434284,0.29986358,,
18,18,,37,0.8383604736328125,0.8731473,0.3539833,0.3090796,,
19,19,,29,0.8383604736328125,0.8731473,0.35580662,0.3106716,,
20,20,,40,0.8383604736328125,0.8731473,0.3347575,0.29229262,0.3252350986003876,2.1171271800994873
21,21,,33,0.8383604736328125,0.8731473,0.30801514,0.2689426,,
22,22,,36,0.8383604736328125,0.8731473,0.33099246,0.2890052,,
23,23,,24,0.8383604736328125,0.8731473,0.33645564,0.29377535,,
24,24,,31,0.8383604736328125,0.8731473,0.32415757,0.2830373,,
25,25,,24,0.8383604736328125,0.8731473,0.29953888,0.26154158,0.45831701159477234,1.8277310132980347
26,26,,32,0.8383604736328125,0.8731473,0.32402015,0.28291732,,
27,27,,33,0.8383604736328125,0.8731473,0.29582843,0.2583018,,
28,28,,29,0.8383604736328125,0.8731473,0.29857367,0.2606988,,
29,29,,34,0.8383604736328125,0.8731473,0.30615038,0.26731437,,
30,30,,36,0.8383604736328125,0.8731473,0.2891737,0.25249124,0.4860648512840271,1.572005033493042
31,31,,32,0.8383604736328125,0.8731473,0.29815835,0.26033616,,
32,32,,29,0.8383604736328125,0.8731473,0.31349576,0.27372798,,
33,33,,26,0.8383604736328125,0.8731473,0.31050166,0.2711137,,
34,34,,28,0.8383604736328125,0.8731473,0.3204359,0.27978775,,
35,35,,31,0.8383604736328125,0.8731473,0.30344027,0.26494807,0.5475852489471436,1.3880501985549927
36,36,,32,0.8383604736328125,0.8731473,0.29530185,0.25784203,,
37,37,,33,0.8383604736328125,0.8731473,0.30640325,0.26753518,,
38,38,,25,0.8383604736328125,0.8731473,0.28446713,0.2483817,,
39,39,,26,0.8383604736328125,0.8731473,0.2942069,0.25688595,,
