,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,29,0.9036648254394531,0.94768065,0.1,0.09476806,0.0979623794555664,2.3068668842315674
1,1,,27,0.9036648254394531,0.94768065,0.11018634,0.10442146,,
2,2,,31,0.9036648254394531,0.94768065,0.12040723,0.1141076,,
3,3,,30,0.9036648254394531,0.94768065,0.13307057,0.12610841,,
4,4,,34,0.9036648254394531,0.94768065,0.14706573,0.13937135,,
5,5,,26,0.9036648254394531,0.94768065,0.16253278,0.15402916,0.11500784009695053,2.2991445064544678
6,6,,29,0.9036648254394531,0.94768065,0.17863603,0.1692899,,
7,7,,29,0.9036648254394531,0.94768065,0.195808,0.18556345,,
8,8,,38,0.9036648254394531,0.94768065,0.21498968,0.20374155,,
9,9,,35,0.9036648254394531,0.94768065,0.23760036,0.22516926,,
10,10,,27,0.9036648254394531,0.94768065,0.262589,0.24885052,0.14373530447483063,2.287611484527588
11,11,,40,0.9036648254394531,0.94768065,0.28660154,0.27160674,,
12,12,,25,0.9036648254394531,0.94768065,0.3167437,0.30017188,,
13,13,,20,0.9036648254394531,0.94768065,0.32680577,0.3097075,,
14,14,,20,0.9036648254394531,0.94768065,0.3514357,0.3330488,,
15,15,,25,0.9036648254394531,0.94768065,0.3568998,0.33822703,0.23221983015537262,2.2360401153564453
16,16,,38,0.9036648254394531,0.94768065,0.37265378,0.35315678,,
17,17,,28,0.9036648254394531,0.94768065,0.39322805,0.37265462,,
18,18,,31,0.9036648254394531,0.94768065,0.41909242,0.39716578,,
19,19,,28,0.9036648254394531,0.94768065,0.41008872,0.38863313,,
20,20,,35,0.9036648254394531,0.94768065,0.38587835,0.36568946,0.2392241358757019,2.1066794395446777
21,21,,31,0.9036648254394531,0.94768065,0.36952785,0.3501944,,
22,22,,19,0.9036648254394531,0.94768065,0.36982855,0.35047936,,
23,23,,37,0.9036648254394531,0.94768065,0.3732986,0.35376784,,
24,24,,23,0.9036648254394531,0.94768065,0.39380366,0.37320012,,
25,25,,35,0.9036648254394531,0.94768065,0.379813,0.35994142,0.41063380241394043,1.7638767957687378
26,26,,19,0.9036648254394531,0.94768065,0.36152193,0.34260735,,
27,27,,32,0.9036648254394531,0.94768065,0.35362172,0.33512047,,
28,28,,25,0.9036648254394531,0.94768065,0.37347463,0.35393468,,
29,29,,32,0.9036648254394531,0.94768065,0.3699584,0.35060242,,
30,30,,21,0.9036648254394531,0.94768065,0.35132357,0.33294255,0.5041878819465637,1.4926717281341553
31,31,,25,0.9036648254394531,0.94768065,0.36755934,0.3483289,,
32,32,,31,0.9036648254394531,0.94768065,0.38230595,0.36230394,,
33,33,,28,0.9036648254394531,0.94768065,0.3712116,0.35179004,,
34,34,,23,0.9036648254394531,0.94768065,0.36849263,0.34921333,,
35,35,,33,0.9036648254394531,0.94768065,0.35766485,0.33895206,0.5921091437339783,1.3027127981185913
36,36,,28,0.9036648254394531,0.94768065,0.35666594,0.33800542,,
37,37,,25,0.9036648254394531,0.94768065,0.35045332,0.33211783,,
38,38,,34,0.9036648254394531,0.94768065,0.36221412,0.3432633,,
39,39,,28,0.9036648254394531,0.94768065,0.36426264,0.34520465,,
40,40,,28,0.9036648254394531,0.94768065,0.37031466,0.35094005,0.6150568127632141,1.1813899278640747
41,41,,31,0.9036648254394531,0.94768065,0.38035062,0.36045092,,
42,42,,25,0.9036648254394531,0.94768065,0.36404127,0.34499487,,
43,43,,25,0.9036648254394531,0.94768065,0.3711069,0.35169083,,
44,44,,33,0.9036648254394531,0.94768065,0.36933315,0.3500099,,
