,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,27,0.8987822570800782,0.94205385,0.1,0.09420539,0.11500784009695053,2.3099565505981445
1,1,,21,0.8987822570800782,0.94205385,0.10942687,0.103086,,
2,2,,38,0.8987822570800782,0.94205385,0.119230494,0.11232155,,
3,3,,28,0.8987822570800782,0.94205385,0.13156569,0.123941965,,
4,4,,27,0.8987822570800782,0.94205385,0.14388564,0.13554803,,
5,5,,42,0.8987822570800782,0.94205385,0.15732996,0.1482133,0.11231387406587601,2.2999155521392822
6,6,,36,0.8987822570800782,0.94205385,0.17387651,0.16380103,,
7,7,,33,0.8987822570800782,0.94205385,0.19216327,0.18102816,,
8,8,,29,0.8987822570800782,0.94205385,0.21234289,0.20003843,,
9,9,,32,0.8987822570800782,0.94205385,0.2346752,0.22107668,,
10,10,,33,0.8987822570800782,0.94205385,0.25935623,0.24432753,0.1030319333076477,2.2963969707489014
11,11,,37,0.8987822570800782,0.94205385,0.28663298,0.2700237,,
12,12,,25,0.8987822570800782,0.94205385,0.31677845,0.29842237,,
13,13,,27,0.8987822570800782,0.94205385,0.34210154,0.32227808,,
14,14,,27,0.8987822570800782,0.94205385,0.3739949,0.35232332,,
15,15,,36,0.8987822570800782,0.94205385,0.3678554,0.3465396,0.2905319333076477,2.2461698055267334
16,16,,25,0.8987822570800782,0.94205385,0.37973797,0.3577336,,
17,17,,38,0.8987822570800782,0.94205385,0.39948845,0.37633964,,
18,18,,31,0.8987822570800782,0.94205385,0.42469135,0.4000821,,
19,19,,30,0.8987822570800782,0.94205385,0.39073238,0.36809096,,
20,20,,28,0.8987822570800782,0.94205385,0.36768538,0.34637943,0.3979966640472412,2.006513833999634
21,21,,38,0.8987822570800782,0.94205385,0.3908974,0.3682464,,
22,22,,27,0.8987822570800782,0.94205385,0.35369858,0.3332031,,
23,23,,20,0.8987822570800782,0.94205385,0.37040883,0.34894508,,
24,24,,34,0.8987822570800782,0.94205385,0.37592578,0.35414234,,
25,25,,16,0.8987822570800782,0.94205385,0.39781022,0.37475866,0.436177521944046,1.737277865409851
26,26,,40,0.8987822570800782,0.94205385,0.39370057,0.37088713,,
27,27,,25,0.8987822570800782,0.94205385,0.356235,0.33559254,,
28,28,,36,0.8987822570800782,0.94205385,0.3711215,0.34961644,,
29,29,,33,0.8987822570800782,0.94205385,0.35788825,0.33715,,
30,30,,28,0.8987822570800782,0.94205385,0.33816394,0.31856865,0.5825577974319458,1.435505986213684
31,31,,24,0.8987822570800782,0.94205385,0.36336327,0.34230778,,
32,32,,26,0.8987822570800782,0.94205385,0.37348533,0.3518433,,
33,33,,26,0.8987822570800782,0.94205385,0.36017704,0.33930618,,
34,34,,26,0.8987822570800782,0.94205385,0.3536319,0.3331403,,
35,35,,28,0.8987822570800782,0.94205385,0.33117905,0.3119885,0.619832456111908,1.2130953073501587
36,36,,34,0.8987822570800782,0.94205385,0.34770265,0.3275546,,
37,37,,30,0.8987822570800782,0.94205385,0.35115328,0.3308053,,
38,38,,34,0.8987822570800782,0.94205385,0.37264696,0.3510535,,
39,39,,36,0.8987822570800782,0.94205385,0.36141023,0.3404679,,
40,40,,24,0.8987822570800782,0.94205385,0.36017635,0.33930552,0.6331064105033875,1.2354357242584229
41,41,,28,0.8987822570800782,0.94205385,0.32590106,0.30701634,,
42,42,,35,0.8987822570800782,0.94205385,0.35518202,0.3346006,,
43,43,,31,0.8987822570800782,0.94205385,0.37729093,0.35542837,,
44,44,,30,0.8987822570800782,0.94205385,0.35005373,0.32976946,,
45,45,,29,0.8987822570800782,0.94205385,0.3350666,0.31565076,0.7549715638160706,0.8582047820091248
46,46,,31,0.8987822570800782,0.94205385,0.34185526,0.32204607,,
47,47,,34,0.8987822570800782,0.94205385,0.3207518,0.30216545,,
48,48,,22,0.8987822570800782,0.94205385,0.35448557,0.3339445,,
49,49,,29,0.8987822570800782,0.94205385,0.33908567,0.31943697,,
50,50,,26,0.8987822570800782,0.94205385,0.33905983,0.31941262,0.792883038520813,0.6985960602760315
51,51,,35,0.8987822570800782,0.94205385,0.34120172,0.3214304,,
52,52,,38,0.8987822570800782,0.94205385,0.33086574,0.31169334,,
53,53,,30,0.8987822570800782,0.94205385,0.3348037,0.3154031,,
54,54,,34,0.8987822570800782,0.94205385,0.36175203,0.34078988,,
55,55,,26,0.8987822570800782,0.94205385,0.32732677,0.30835944,0.8173246383666992,0.6384181976318359
56,56,,26,0.8987822570800782,0.94205385,0.34999096,0.32971033,,
57,57,,27,0.8987822570800782,0.94205385,0.34565994,0.32563028,,
58,58,,28,0.8987822570800782,0.94205385,0.33647734,0.31697977,,
59,59,,23,0.8987822570800782,0.94205385,0.35882992,0.3380371,,
60,60,,27,0.8987822570800782,0.94205385,0.33679947,0.31728324,0.8363538384437561,0.549437403678894
61,61,,38,0.8987822570800782,0.94205385,0.3421773,0.32234946,,
62,62,,32,0.8987822570800782,0.94205385,0.33919075,0.31953594,,
63,63,,14,0.8987822570800782,0.94205385,0.31516245,0.2969,,
64,64,,32,0.8987822570800782,0.94205385,0.32541177,0.30655542,,
65,65,,31,0.8987822570800782,0.94205385,0.35816035,0.33740634,0.8683140873908997,0.484444260597229
66,66,,34,0.8987822570800782,0.94205385,0.3337488,0.31440935,,
67,67,,28,0.8987822570800782,0.94205385,0.34356827,0.3236598,,
68,68,,24,0.8987822570800782,0.94205385,0.34270096,0.32284275,,
69,69,,30,0.8987822570800782,0.94205385,0.34155276,0.3217611,,
70,70,,38,0.8987822570800782,0.94205385,0.3457886,0.32575148,0.8752449154853821,0.4343595504760742
71,71,,35,0.8987822570800782,0.94205385,0.3385133,0.31889778,,
72,72,,33,0.8987822570800782,0.94205385,0.36389235,0.3428062,,
73,73,,34,0.8987822570800782,0.94205385,0.34544477,0.32542756,,
74,74,,20,0.8987822570800782,0.94205385,0.3476826,0.32753572,,
75,75,,33,0.8987822570800782,0.94205385,0.3421588,0.32233202,0.8917760848999023,0.39443129301071167
76,76,,34,0.8987822570800782,0.94205385,0.34969977,0.329436,,
77,77,,35,0.8987822570800782,0.94205385,0.35293236,0.3324813,,
78,78,,36,0.8987822570800782,0.94205385,0.34675157,0.32665867,,
79,79,,23,0.8987822570800782,0.94205385,0.35133103,0.33097276,,
80,80,,37,0.8987822570800782,0.94205385,0.35425487,0.33372718,0.9013763666152954,0.36442363262176514
81,81,,22,0.8987822570800782,0.94205385,0.34460306,0.32463464,,
82,82,,23,0.8987822570800782,0.94205385,0.3315686,0.3123555,,
83,83,,39,0.8987822570800782,0.94205385,0.34823182,0.32805312,,
84,84,,32,0.8987822570800782,0.94205385,0.35847107,0.33769906,,
85,85,,22,0.8987822570800782,0.94205385,0.34295943,0.32308626,0.9113685488700867,0.3206551671028137
86,86,,37,0.8987822570800782,0.94205385,0.34458458,0.32461724,,
87,87,,30,0.8987822570800782,0.94205385,0.36002514,0.33916306,,
88,88,,37,0.8987822570800782,0.94205385,0.33375096,0.31441137,,
89,89,,24,0.8987822570800782,0.94205385,0.35589164,0.3352691,,
90,90,,31,0.8987822570800782,0.94205385,0.3386587,0.31903473,0.9063234925270081,0.3233911395072937
91,91,,31,0.8987822570800782,0.94205385,0.34944057,0.32919183,,
92,92,,32,0.8987822570800782,0.94205385,0.35035613,0.33005434,,
93,93,,28,0.8987822570800782,0.94205385,0.3668997,0.3456393,,
94,94,,28,0.8987822570800782,0.94205385,0.3662436,0.3450212,,
95,95,,32,0.8987822570800782,0.94205385,0.35353273,0.33304688,0.9096786975860596,0.2952716648578644
96,96,,29,0.8987822570800782,0.94205385,0.34039634,0.32067168,,
97,97,,31,0.8987822570800782,0.94205385,0.35150278,0.33113456,,
98,98,,28,0.8987822570800782,0.94205385,0.35796475,0.33722207,,
99,99,,25,0.8987822570800782,0.94205385,0.35806438,0.33731595,,
100,100,,32,0.8987822570800782,0.94205385,0.3567982,0.3361231,0.9241526126861572,0.25531473755836487
101,101,,22,0.8987822570800782,0.94205385,0.36700827,0.34574154,,
102,102,,28,0.8987822570800782,0.94205385,0.37137517,0.34985542,,
103,103,,39,0.8987822570800782,0.94205385,0.36318815,0.3421428,,
104,104,,32,0.8987822570800782,0.94205385,0.35348892,0.3330056,,
105,105,,28,0.8987822570800782,0.94205385,0.36426672,0.34315887,0.924250602722168,0.25985437631607056
106,106,,33,0.8987822570800782,0.94205385,0.3575181,0.33680132,,
107,107,,35,0.8987822570800782,0.94205385,0.34773594,0.327586,,
108,108,,34,0.8987822570800782,0.94205385,0.36439186,0.34327677,,
109,109,,36,0.8987822570800782,0.94205385,0.3696558,0.34823567,,
110,110,,36,0.8987822570800782,0.94205385,0.369737,0.34831217,0.916780948638916,0.2735620439052582
111,111,,44,0.8987822570800782,0.94205385,0.3460225,0.3259718,,
112,112,,32,0.8987822570800782,0.94205385,0.34894112,0.3287213,,
113,113,,34,0.8987822570800782,0.94205385,0.36253315,0.34152576,,
114,114,,26,0.8987822570800782,0.94205385,0.38018057,0.35815057,,
115,115,,32,0.8987822570800782,0.94205385,0.38008046,0.35805628,0.9344386458396912,0.2203608602285385
116,116,,27,0.8987822570800782,0.94205385,0.3705752,0.34910178,,
117,117,,32,0.8987822570800782,0.94205385,0.3654663,0.34428895,,
118,118,,23,0.8987822570800782,0.94205385,0.36479476,0.3436563,,
119,119,,27,0.8987822570800782,0.94205385,0.35096598,0.33062884,,
120,120,,31,0.8987822570800782,0.94205385,0.36995906,0.34852135,0.9376469254493713,0.2098727822303772
121,121,,35,0.8987822570800782,0.94205385,0.37018624,0.34873536,,
122,122,,19,0.8987822570800782,0.94205385,0.37209383,0.3505324,,
123,123,,38,0.8987822570800782,0.94205385,0.37667736,0.35485035,,
124,124,,19,0.8987822570800782,0.94205385,0.3538526,0.3333482,,
125,125,,24,0.8987822570800782,0.94205385,0.36797276,0.34665015,0.9321610331535339,0.22694404423236847
126,126,,32,0.8987822570800782,0.94205385,0.37549025,0.35373205,,
127,127,,36,0.8987822570800782,0.94205385,0.37462384,0.35291582,,
128,128,,35,0.8987822570800782,0.94205385,0.38217512,0.36002955,,
129,129,,33,0.8987822570800782,0.94205385,0.37089863,0.34940648,,
130,130,,32,0.8987822570800782,0.94205385,0.34252378,0.32267585,0.9404388666152954,0.19849252700805664
131,131,,34,0.8987822570800782,0.94205385,0.36911362,0.3477249,,
132,132,,22,0.8987822570800782,0.94205385,0.37100008,0.34950206,,
133,133,,34,0.8987822570800782,0.94205385,0.34778026,0.32762772,,
134,134,,38,0.8987822570800782,0.94205385,0.35680145,0.33612618,,
135,135,,22,0.8987822570800782,0.94205385,0.37622914,0.3544281,0.9299814105033875,0.23493289947509766
136,136,,26,0.8987822570800782,0.94205385,0.35530657,0.33471793,,
