,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,,,,,0.09580720961093903,2.3072314262390137
1,1,,30,,,,,,
2,2,,30,,,,,,
3,3,,30,,,,,,
4,4,,30,,,,,,
5,5,,30,,,,,0.29866281151771545,2.2723336219787598
6,6,,30,,,,,,
7,7,,30,,,,,,
8,8,,30,,,,,,
9,9,,30,,,,,,
10,10,,30,,,,,0.4642927050590515,1.9863361120224
11,11,,30,,,,,,
12,12,,30,,,,,,
13,13,,30,,,,,,
14,14,,30,,,,,,
15,15,,30,,,,,0.5965419411659241,1.5054420232772827
16,16,,30,,,,,,
17,17,,30,,,,,,
18,18,,30,,,,,,
19,19,,30,,,,,,
20,20,,30,,,,,0.6927409768104553,1.135178804397583
21,21,,30,,,,,,
22,22,,30,,,,,,
23,23,,30,,,,,,
24,24,,30,,,,,,
25,25,,30,,,,,0.7645964026451111,0.8562286496162415
26,26,,30,,,,,,
27,27,,30,,,,,,
28,28,,30,,,,,,
29,29,,30,,,,,,
30,30,,30,,,,,0.8080182075500488,0.6756039261817932
31,31,,30,,,,,,
32,32,,30,,,,,,
33,33,,30,,,,,,
34,34,,30,,,,,,
35,35,,30,,,,,0.8349578976631165,0.5730577707290649
36,36,,30,,,,,,
37,37,,30,,,,,,
38,38,,30,,,,,,
39,39,,30,,,,,,
40,40,,30,,,,,0.8570973873138428,0.4946485757827759
41,41,,30,,,,,,
42,42,,30,,,,,,
43,43,,30,,,,,,
44,44,,30,,,,,,
45,45,,30,,,,,0.8745346665382385,0.424235463142395
46,46,,30,,,,,,
47,47,,30,,,,,,
48,48,,30,,,,,,
49,49,,30,,,,,,
50,50,,30,,,,,0.8864126205444336,0.3782149851322174
51,51,,30,,,,,,
52,52,,30,,,,,,
53,53,,30,,,,,,
54,54,,30,,,,,,
55,55,,30,,,,,0.893172025680542,0.3547977805137634
56,56,,30,,,,,,
57,57,,30,,,,,,
58,58,,30,,,,,,
59,59,,30,,,,,,
60,60,,30,,,,,0.9032376408576965,0.31348085403442383
61,61,,30,,,,,,
62,62,,30,,,,,,
63,63,,30,,,,,,
64,64,,30,,,,,,
65,65,,30,,,,,0.908894956111908,0.29969659447669983
66,66,,30,,,,,,
67,67,,30,,,,,,
68,68,,30,,,,,,
69,69,,30,,,,,,
70,70,,30,,,,,0.9106093049049377,0.2893122732639313
71,71,,30,,,,,,
72,72,,30,,,,,,
73,73,,30,,,,,,
74,74,,30,,,,,,
75,75,,30,,,,,0.9193524718284607,0.26334235072135925
76,76,,30,,,,,,
77,77,,30,,,,,,
78,78,,30,,,,,,
79,79,,30,,,,,,
80,80,,30,,,,,0.9229525923728943,0.253328412771225
81,81,,30,,,,,,
82,82,,30,,,,,,
83,83,,30,,,,,,
84,84,,30,,,,,,
85,85,,30,,,,,0.927483320236206,0.23788602650165558
86,86,,30,,,,,,
87,87,,30,,,,,,
88,88,,30,,,,,,
89,89,,30,,,,,,
90,90,,30,,,,,0.9257445335388184,0.24266253411769867
91,91,,30,,,,,,
92,92,,30,,,,,,
93,93,,30,,,,,,
94,94,,30,,,,,,
95,95,,30,,,,,0.9303487539291382,0.23005352914333344
96,96,,30,,,,,,
97,97,,30,,,,,,
98,98,,30,,,,,,
99,99,,30,,,,,,
100,100,,30,,,,,0.9303732514381409,0.22924965620040894
101,101,,30,,,,,,
102,102,,30,,,,,,
103,103,,30,,,,,,
104,104,,30,,,,,,
105,105,,30,,,,,0.9352713823318481,0.2137320637702942
106,106,,30,,,,,,
107,107,,30,,,,,,
108,108,,30,,,,,,
109,109,,30,,,,,,
110,110,,30,,,,,0.9375,0.20774275064468384
111,111,,30,,,,,,
112,112,,30,,,,,,
113,113,,30,,,,,,
114,114,,30,,,,,,
115,115,,30,,,,,0.937671422958374,0.20760348439216614
116,116,,30,,,,,,
117,117,,30,,,,,,
118,118,,30,,,,,,
119,119,,30,,,,,,
120,120,,30,,,,,0.9367163181304932,0.21290098130702972
121,121,,30,,,,,,
122,122,,30,,,,,,
123,123,,30,,,,,,
124,124,,30,,,,,,
125,125,,30,,,,,0.9431328177452087,0.19055220484733582
126,126,,30,,,,,,
127,127,,30,,,,,,
128,128,,30,,,,,,
129,129,,30,,,,,,
130,130,,30,,,,,0.9413695335388184,0.198101207613945
131,131,,30,,,,,,
132,132,,30,,,,,,
133,133,,30,,,,,,
134,134,,30,,,,,,
135,135,,30,,,,,0.9442594051361084,0.18974089622497559
136,136,,30,,,,,,
137,137,,30,,,,,,
138,138,,30,,,,,,
139,139,,30,,,,,,
140,140,,30,,,,,0.9452635049819946,0.18557029962539673
141,141,,30,,,,,,
142,142,,30,,,,,,
143,143,,30,,,,,,
144,144,,30,,,,,,
145,145,,30,,,,,0.9470513463020325,0.18299536406993866
146,146,,30,,,,,,
147,147,,30,,,,,,
148,148,,30,,,,,,
149,149,,30,,,,,,
150,150,,30,,,,,0.947859525680542,0.18232682347297668
151,151,,30,,,,,,
152,152,,30,,,,,,
153,153,,30,,,,,,
154,154,,30,,,,,,
155,155,,30,,,,,0.9491575360298157,0.17684194445610046
