,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,,,,,0.09908895194530487,2.3041598796844482
1,1,,30,,,,,,
2,2,,30,,,,,,
3,3,,30,,,,,,
4,4,,30,,,,,,
5,5,,30,,,,,0.1667809635400772,2.288886070251465
6,6,,30,,,,,,
7,7,,30,,,,,,
8,8,,30,,,,,,
9,9,,30,,,,,,
10,10,,30,,,,,0.46439066529273987,2.174474000930786
11,11,,30,,,,,,
12,12,,30,,,,,,
13,13,,30,,,,,,
14,14,,30,,,,,,
15,15,,30,,,,,0.5734962821006775,1.7308425903320312
16,16,,30,,,,,,
17,17,,30,,,,,,
18,18,,30,,,,,,
19,19,,30,,,,,,
20,20,,30,,,,,0.6710423231124878,1.2425713539123535
21,21,,30,,,,,,
22,22,,30,,,,,,
23,23,,30,,,,,,
24,24,,30,,,,,,
25,25,,30,,,,,0.7709639668464661,0.8961946964263916
26,26,,30,,,,,,
27,27,,30,,,,,,
28,28,,30,,,,,,
29,29,,30,,,,,,
30,30,,30,,,,,0.8278310894966125,0.6854120492935181
31,31,,30,,,,,,
32,32,,30,,,,,,
33,33,,30,,,,,,
34,34,,30,,,,,,
35,35,,30,,,,,0.8594974279403687,0.5386939644813538
36,36,,30,,,,,,
37,37,,30,,,,,,
38,38,,30,,,,,,
39,39,,30,,,,,,
40,40,,30,,,,,0.8842084407806396,0.4354186952114105
41,41,,30,,,,,,
42,42,,30,,,,,,
43,43,,30,,,,,,
44,44,,30,,,,,,
45,45,,30,,,,,0.9003967642784119,0.3604402244091034
46,46,,30,,,,,,
47,47,,30,,,,,,
48,48,,30,,,,,,
49,49,,30,,,,,,
50,50,,30,,,,,0.9139400720596313,0.3062838613986969
51,51,,30,,,,,,
52,52,,30,,,,,,
53,53,,30,,,,,,
54,54,,30,,,,,,
55,55,,30,,,,,0.9215810894966125,0.2721068859100342
56,56,,30,,,,,,
57,57,,30,,,,,,
58,58,,30,,,,,,
59,59,,30,,,,,,
60,60,,30,,,,,0.9281935691833496,0.245775043964386
61,61,,30,,,,,,
62,62,,30,,,,,,
63,63,,30,,,,,,
64,64,,30,,,,,,
65,65,,30,,,,,0.9337039589881897,0.22334395349025726
66,66,,30,,,,,,
67,67,,30,,,,,,
68,68,,30,,,,,,
69,69,,30,,,,,,
70,70,,30,,,,,0.9367652535438538,0.2094906121492386
71,71,,30,,,,,,
72,72,,30,,,,,,
73,73,,30,,,,,,
74,74,,30,,,,,,
75,75,,30,,,,,0.9410756230354309,0.19424931704998016
76,76,,30,,,,,,
77,77,,30,,,,,,
78,78,,30,,,,,,
79,79,,30,,,,,,
80,80,,30,,,,,0.9446757435798645,0.18265295028686523
81,81,,30,,,,,,
82,82,,30,,,,,,
83,83,,30,,,,,,
84,84,,30,,,,,,
85,85,,30,,,,,0.9478840231895447,0.17254526913166046
86,86,,30,,,,,,
87,87,,30,,,,,,
88,88,,30,,,,,,
89,89,,30,,,,,,
90,90,,30,,,,,0.95050448179245,0.1632574200630188
91,91,,30,,,,,,
92,92,,30,,,,,,
93,93,,30,,,,,,
94,94,,30,,,,,,
95,95,,30,,,,,0.9537617564201355,0.15480728447437286
96,96,,30,,,,,,
97,97,,30,,,,,,
98,98,,30,,,,,,
99,99,,30,,,,,,
100,100,,30,,,,,0.9557210206985474,0.14864227175712585
101,101,,30,,,,,,
102,102,,30,,,,,,
103,103,,30,,,,,,
104,104,,30,,,,,,
105,105,,30,,,,,0.9567006230354309,0.14447137713432312
106,106,,30,,,,,,
107,107,,30,,,,,,
108,108,,30,,,,,,
109,109,,30,,,,,,
110,110,,30,,,,,0.9584149718284607,0.1397932767868042
111,111,,30,,,,,,
112,112,,30,,,,,,
113,113,,30,,,,,,
114,114,,30,,,,,,
115,115,,30,,,,,0.9602762460708618,0.1342727690935135
116,116,,30,,,,,,
117,117,,30,,,,,,
118,118,,30,,,,,,
119,119,,30,,,,,,
120,120,,30,,,,,0.9614028334617615,0.1308329850435257
121,121,,30,,,,,,
122,122,,30,,,,,,
123,123,,30,,,,,,
124,124,,30,,,,,,
125,125,,30,,,,,0.9627497792243958,0.12676700949668884
126,126,,30,,,,,,
127,127,,30,,,,,,
128,128,,30,,,,,,
129,129,,30,,,,,,
130,130,,30,,,,,0.963484525680542,0.1237504780292511
131,131,,30,,,,,,
132,132,,30,,,,,,
133,133,,30,,,,,,
134,134,,30,,,,,,
135,135,,30,,,,,0.9633620977401733,0.12218985706567764
136,136,,30,,,,,,
137,137,,30,,,,,,
138,138,,30,,,,,,
139,139,,30,,,,,,
140,140,,30,,,,,0.9646845459938049,0.11882485449314117
141,141,,30,,,,,,
142,142,,30,,,,,,
143,143,,30,,,,,,
144,144,,30,,,,,,
145,145,,30,,,,,0.966105043888092,0.11466990411281586
146,146,,30,,,,,,
147,147,,30,,,,,,
148,148,,30,,,,,,
149,149,,30,,,,,,
150,150,,30,,,,,0.9673295617103577,0.11163116991519928
151,151,,30,,,,,,
152,152,,30,,,,,,
153,153,,30,,,,,,
154,154,,30,,,,,,
155,155,,30,,,,,0.9669621586799622,0.11170316487550735
156,156,,30,,,,,,
157,157,,30,,,,,,
158,158,,30,,,,,,
159,159,,30,,,,,,
160,160,,30,,,,,0.9674519896507263,0.1091739684343338
161,161,,30,,,,,,
162,162,,30,,,,,,
163,163,,30,,,,,,
164,164,,30,,,,,,
165,165,,30,,,,,0.9687010049819946,0.1070103794336319
166,166,,30,,,,,,
167,167,,30,,,,,,
168,168,,30,,,,,,
169,169,,30,,,,,,
170,170,,30,,,,,0.9686275720596313,0.1065390557050705
171,171,,30,,,,,,
172,172,,30,,,,,,
173,173,,30,,,,,,
174,174,,30,,,,,,
175,175,,30,,,,,0.9687989950180054,0.10567715764045715
176,176,,30,,,,,,
177,177,,30,,,,,,
178,178,,30,,,,,,
179,179,,30,,,,,,
180,180,,30,,,,,0.970097005367279,0.10246922820806503
181,181,,30,,,,,,
182,182,,30,,,,,,
183,183,,30,,,,,,
184,184,,30,,,,,,
185,185,,30,,,,,0.9704888463020325,0.10011624544858932
186,186,,30,,,,,,
187,187,,30,,,,,,
188,188,,30,,,,,,
189,189,,30,,,,,,
190,190,,30,,,,,0.9709296822547913,0.09878408163785934
191,191,,30,,,,,,
192,192,,30,,,,,,
193,193,,30,,,,,,
194,194,,30,,,,,,
195,195,,30,,,,,0.9717868566513062,0.09693453460931778
196,196,,30,,,,,,
197,197,,30,,,,,,
198,198,,30,,,,,,
199,199,,30,,,,,,
200,200,,30,,,,,0.9713460206985474,0.09728697687387466
201,201,,30,,,,,,
202,202,,30,,,,,,
203,203,,30,,,,,,
204,204,,30,,,,,,
205,205,,30,,,,,0.9726195335388184,0.09534502029418945
206,206,,30,,,,,,
207,207,,30,,,,,,
208,208,,30,,,,,,
209,209,,30,,,,,,
210,210,,30,,,,,0.9726195335388184,0.09450548142194748
211,211,,30,,,,,,
212,212,,30,,,,,,
213,213,,30,,,,,,
214,214,,30,,,,,,
215,215,,30,,,,,0.9734522104263306,0.09170705825090408
216,216,,30,,,,,,
217,217,,30,,,,,,
218,218,,30,,,,,,
219,219,,30,,,,,,
220,220,,30,,,,,0.9736971259117126,0.09145595878362656
221,221,,30,,,,,,
222,222,,30,,,,,,
223,223,,30,,,,,,
224,224,,30,,,,,,
225,225,,30,,,,,0.9740889668464661,0.0903814360499382
226,226,,30,,,,,,
227,227,,30,,,,,,
228,228,,30,,,,,,
229,229,,30,,,,,,
230,230,,30,,,,,0.9745298027992249,0.08832354843616486
231,231,,30,,,,,,
232,232,,30,,,,,,
233,233,,30,,,,,,
234,234,,30,,,,,,
235,235,,30,,,,,0.9750195741653442,0.08770088851451874
236,236,,30,,,,,,
237,237,,30,,,,,,
238,238,,30,,,,,,
239,239,,30,,,,,,
240,240,,30,,,,,0.9748236536979675,0.08859343826770782
241,241,,30,,,,,,
242,242,,30,,,,,,
243,243,,30,,,,,,
244,244,,30,,,,,,
245,245,,30,,,,,0.9752644896507263,0.08723772317171097
246,246,,30,,,,,,
247,247,,30,,,,,,
248,248,,30,,,,,,
249,249,,30,,,,,,
250,250,,30,,,,,0.9754849076271057,0.08757384121417999
251,251,,30,,,,,,
252,252,,30,,,,,,
253,253,,30,,,,,,
254,254,,30,,,,,,
255,255,,30,,,,,0.9756808280944824,0.08580224961042404
256,256,,30,,,,,,
257,257,,30,,,,,,
258,258,,30,,,,,,
259,259,,30,,,,,,
260,260,,30,,,,,0.9762441515922546,0.08430995047092438
261,261,,30,,,,,,
262,262,,30,,,,,,
263,263,,30,,,,,,
