,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,23,0.7082464208237876,0.7288487,0.1,0.07288487,0.09979917854070663,2.3053905963897705
1,1,,33,0.7082464208237876,0.7288487,0.107533574,0.078375705,,
2,2,,20,0.7082464208237876,0.7288487,0.11884298,0.08661855,,
3,3,,26,0.7082464208237876,0.7288487,0.12793085,0.093242235,,
4,4,,23,0.7082464208237876,0.7288487,0.14008306,0.10209936,,
5,5,,22,0.7082464208237876,0.7288487,0.14985292,0.1092201,0.13011853396892548,2.299484968185425
6,6,,18,0.7082464208237876,0.7288487,0.16340563,0.11909798,,
7,7,,28,0.7082464208237876,0.7288487,0.17010815,0.12398311,,
8,8,,23,0.7082464208237876,0.7288487,0.1879986,0.13702253,,
9,9,,25,0.7082464208237876,0.7288487,0.20287137,0.14786254,,
10,10,,29,0.7082464208237876,0.7288487,0.2181586,0.15900461,0.1851733922958374,2.290147066116333
11,11,,38,0.7082464208237876,0.7288487,0.23767301,0.17322767,,
12,12,,33,0.7082464208237876,0.7288487,0.26266932,0.1914462,,
13,13,,26,0.7082464208237876,0.7288487,0.2902945,0.21158077,,
14,14,,21,0.7082464208237876,0.7288487,0.31791443,0.23171152,,
15,15,,34,0.7082464208237876,0.7288487,0.33731076,0.2458485,0.2920503616333008,2.2226414680480957
16,16,,34,0.7082464208237876,0.7288487,0.37278605,0.2717046,,
17,17,,24,0.7082464208237876,0.7288487,0.4034241,0.29403514,,
18,18,,29,0.7082464208237876,0.7288487,0.42184272,0.30745953,,
19,19,,31,0.7082464208237876,0.7288487,0.45438054,0.33117467,,
20,20,,24,0.7082464208237876,0.7288487,0.43410602,0.3163976,0.2827684283256531,2.0242197513580322
21,21,,38,0.7082464208237876,0.7288487,0.40097845,0.29225263,,
22,22,,24,0.7082464208237876,0.7288487,0.39549857,0.2882586,,
23,23,,24,0.7082464208237876,0.7288487,0.3959996,0.2886238,,
24,24,,33,0.7082464208237876,0.7288487,0.41207713,0.30034187,,
25,25,,25,0.7082464208237876,0.7288487,0.41441497,0.30204582,0.5458219051361084,1.5552489757537842
26,26,,36,0.7082464208237876,0.7288487,0.40627554,0.2961134,,
27,27,,33,0.7082464208237876,0.7288487,0.39277166,0.28627113,,
28,28,,24,0.7082464208237876,0.7288487,0.3902417,0.28442717,,
29,29,,42,0.7082464208237876,0.7288487,0.38687497,0.28197333,,
30,30,,28,0.7082464208237876,0.7288487,0.37218624,0.27126744,0.6075137257575989,1.2420661449432373
31,31,,32,0.7082464208237876,0.7288487,0.37288836,0.27177918,,
32,32,,38,0.7082464208237876,0.7288487,0.36653125,0.2671458,,
33,33,,25,0.7082464208237876,0.7288487,0.34192625,0.2492125,,
34,34,,28,0.7082464208237876,0.7288487,0.35476458,0.2585697,,
35,35,,30,0.7082464208237876,0.7288487,0.34834883,0.25389358,0.6659237742424011,1.0767520666122437
36,36,,30,0.7082464208237876,0.7288487,0.3522677,0.25674987,,
37,37,,34,0.7082464208237876,0.7288487,0.33513984,0.24426624,,
38,38,,24,0.7082464208237876,0.7288487,0.34512419,0.2515433,,
39,39,,29,0.7082464208237876,0.7288487,0.34154359,0.2489336,,
