,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,34,0.7082464208237876,0.7288487,0.1,0.07288487,0.09913793206214905,2.3035597801208496
1,1,,28,0.7082464208237876,0.7288487,0.1105171,0.080550246,,
2,2,,27,0.7082464208237876,0.7288487,0.12214029,0.08902179,,
3,3,,36,0.7082464208237876,0.7288487,0.13298064,0.09692277,,
4,4,,28,0.7082464208237876,0.7288487,0.14696635,0.10711624,,
5,5,,29,0.7082464208237876,0.7288487,0.16147092,0.117687866,0.1005094051361084,2.296437978744507
6,6,,25,0.7082464208237876,0.7288487,0.17835483,0.12999369,,
7,7,,29,0.7082464208237876,0.7288487,0.1942691,0.14159279,,
8,8,,26,0.7082464208237876,0.7288487,0.21470058,0.15648423,,
9,9,,33,0.7082464208237876,0.7288487,0.23313542,0.16992044,,
10,10,,23,0.7082464208237876,0.7288487,0.2576545,0.18779114,0.20474137365818024,2.2764952182769775
11,11,,32,0.7082464208237876,0.7288487,0.28155908,0.20521396,,
12,12,,28,0.7082464208237876,0.7288487,0.31054306,0.22633891,,
13,13,,35,0.7082464208237876,0.7288487,0.33992958,0.24775723,,
14,14,,27,0.7082464208237876,0.7288487,0.3748292,0.27319378,,
15,15,,24,0.7082464208237876,0.7288487,0.39051646,0.2846274,0.2656005024909973,2.189223289489746
16,16,,31,0.7082464208237876,0.7288487,0.39287695,0.28634787,,
17,17,,23,0.7082464208237876,0.7288487,0.3779263,0.2754511,,
18,18,,23,0.7082464208237876,0.7288487,0.40069938,0.29204923,,
19,19,,41,0.7082464208237876,0.7288487,0.4060519,0.2959504,,
20,20,,35,0.7082464208237876,0.7288487,0.42316186,0.308421,0.4137931168079376,1.8550472259521484
21,21,,21,0.7082464208237876,0.7288487,0.3875675,0.28247806,,
22,22,,38,0.7082464208237876,0.7288487,0.39584404,0.2885104,,
23,23,,30,0.7082464208237876,0.7288487,0.39740908,0.2896511,,
24,24,,39,0.7082464208237876,0.7288487,0.35965955,0.26213738,,
25,25,,35,0.7082464208237876,0.7288487,0.3680122,0.2682252,0.524539589881897,1.508280634880066
