,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,31,1.0546077151806315,1.1265078,0.1,0.112650774,0.09955427050590515,2.3076012134552
1,1,,28,1.0546077151806315,1.1265078,0.1105171,0.12449837,,
2,2,,34,1.0546077151806315,1.1265078,0.12189242,0.13731275,,
3,3,,22,1.0546077151806315,1.1265078,0.13471197,0.15175408,,
4,4,,29,1.0546077151806315,1.1265078,0.1468167,0.16539015,,
5,5,,26,1.0546077151806315,1.1265078,0.15997158,0.18020922,0.11260776221752167,2.299013614654541
6,6,,34,1.0546077151806315,1.1265078,0.17230429,0.19410212,,
7,7,,31,1.0546077151806315,1.1265078,0.18894796,0.21285135,,
8,8,,24,1.0546077151806315,1.1265078,0.2088198,0.23523714,,
9,9,,23,1.0546077151806315,1.1265078,0.22391956,0.25224712,,
10,10,,34,1.0546077151806315,1.1265078,0.23947982,0.26977587,0.13780857622623444,2.285460948944092
11,11,,46,1.0546077151806315,1.1265078,0.26466614,0.29814845,,
12,12,,32,1.0546077151806315,1.1265078,0.29250133,0.32950503,,
13,13,,33,1.0546077151806315,1.1265078,0.32326397,0.36415938,,
14,14,,42,1.0546077151806315,1.1265078,0.3552052,0.40014142,,
15,15,,29,1.0546077151806315,1.1265078,0.39256248,0.44222468,0.2709394693374634,2.137512683868408
16,16,,28,1.0546077151806315,1.1265078,0.41874266,0.47171685,,
17,17,,27,1.0546077151806315,1.1265078,0.39484185,0.44479242,,
18,18,,31,1.0546077151806315,1.1265078,0.40745658,0.459003,,
19,19,,26,1.0546077151806315,1.1265078,0.41673073,0.4694504,,
20,20,,32,1.0546077151806315,1.1265078,0.39424267,0.44411743,0.21363146603107452,2.1650707721710205
21,21,,27,1.0546077151806315,1.1265078,0.36162183,0.4073698,,
22,22,,26,1.0546077151806315,1.1265078,0.34590897,0.38966915,,
23,23,,29,1.0546077151806315,1.1265078,0.3491201,0.39328653,,
24,24,,33,1.0546077151806315,1.1265078,0.34017894,0.3832142,,
25,25,,28,1.0546077151806315,1.1265078,0.37595588,0.42351723,0.4527086615562439,1.726837396621704
26,26,,35,1.0546077151806315,1.1265078,0.39342657,0.44319808,,
27,27,,37,1.0546077151806315,1.1265078,0.38994595,0.43927714,,
28,28,,30,1.0546077151806315,1.1265078,0.3820276,0.43035704,,
29,29,,52,1.0546077151806315,1.1265078,0.38840395,0.43754005,,
30,30,,30,1.0546077151806315,1.1265078,0.36155888,0.4072989,0.5115595459938049,1.447464108467102
31,31,,37,1.0546077151806315,1.1265078,0.3487488,0.39286822,,
32,32,,38,1.0546077151806315,1.1265078,0.32297415,0.3638329,,
33,33,,28,1.0546077151806315,1.1265078,0.35694164,0.40209752,,
34,34,,36,1.0546077151806315,1.1265078,0.3260069,0.36724928,,
35,35,,29,1.0546077151806315,1.1265078,0.32505772,0.36618003,0.6420209407806396,1.164559006690979
36,36,,27,1.0546077151806315,1.1265078,0.34610647,0.38989162,,
37,37,,26,1.0546077151806315,1.1265078,0.35695457,0.4021121,,
38,38,,21,1.0546077151806315,1.1265078,0.34285647,0.38623047,,
