,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,32,1.0546077151806315,1.1265078,0.1,0.112650774,0.08270473778247833,2.304625988006592
1,1,,34,1.0546077151806315,1.1265078,0.108688526,0.12243847,,
2,2,,39,1.0546077151806315,1.1265078,0.1201194,0.13531543,,
3,3,,33,1.0546077151806315,1.1265078,0.13275248,0.1495467,,
4,4,,28,1.0546077151806315,1.1265078,0.14671418,0.16527466,,
5,5,,27,1.0546077151806315,1.1265078,0.16214426,0.18265676,0.1972227692604065,2.2936906814575195
6,6,,26,1.0546077151806315,1.1265078,0.17411122,0.19613764,,
7,7,,37,1.0546077151806315,1.1265078,0.18895979,0.21286467,,
8,8,,23,1.0546077151806315,1.1265078,0.20883287,0.23525186,,
9,9,,26,1.0546077151806315,1.1265078,0.22548594,0.25401166,,
10,10,,30,1.0546077151806315,1.1265078,0.24365196,0.2744758,0.22330525517463684,2.2735543251037598
11,11,,40,1.0546077151806315,1.1265078,0.26927707,0.3033427,,
12,12,,24,1.0546077151806315,1.1265078,0.2975972,0.33524555,,
13,13,,28,1.0546077151806315,1.1265078,0.3283041,0.36983714,,
14,14,,36,1.0546077151806315,1.1265078,0.35627878,0.4013508,,
15,15,,29,1.0546077151806315,1.1265078,0.38593113,0.43475443,0.22915850579738617,2.187363386154175
16,16,,26,1.0546077151806315,1.1265078,0.37401918,0.42133552,,
17,17,,22,1.0546077151806315,1.1265078,0.41335514,0.4656478,,
18,18,,36,1.0546077151806315,1.1265078,0.38433254,0.4329536,,
19,19,,31,1.0546077151806315,1.1265078,0.35637668,0.4014611,,
20,20,,21,1.0546077151806315,1.1265078,0.39179683,0.44136217,0.40233150124549866,1.9235516786575317
21,21,,19,1.0546077151806315,1.1265078,0.39707392,0.44730687,,
22,22,,27,1.0546077151806315,1.1265078,0.3745742,0.42196077,,
23,23,,19,1.0546077151806315,1.1265078,0.39104512,0.44051537,,
24,24,,30,1.0546077151806315,1.1265078,0.3915713,0.44110814,,
25,25,,42,1.0546077151806315,1.1265078,0.41009992,0.46198076,0.44729623198509216,1.6343940496444702
26,26,,28,1.0546077151806315,1.1265078,0.37107375,0.41801745,,
27,27,,24,1.0546077151806315,1.1265078,0.39336616,0.44313002,,
28,28,,37,1.0546077151806315,1.1265078,0.35861793,0.4039859,,
29,29,,30,1.0546077151806315,1.1265078,0.36876178,0.415413,,
30,30,,31,1.0546077151806315,1.1265078,0.33850294,0.3813262,0.6105995178222656,1.3328057527542114
31,31,,28,1.0546077151806315,1.1265078,0.35859403,0.40395895,,
32,32,,21,1.0546077151806315,1.1265078,0.3563914,0.40147766,,
33,33,,26,1.0546077151806315,1.1265078,0.34326443,0.38669005,,
34,34,,24,1.0546077151806315,1.1265078,0.31704918,0.35715836,,
35,35,,32,1.0546077151806315,1.1265078,0.34136978,0.3845557,0.6796385049819946,1.1495826244354248
36,36,,22,1.0546077151806315,1.1265078,0.37436515,0.42172524,,
37,37,,35,1.0546077151806315,1.1265078,0.37968037,0.4277129,,
38,38,,24,1.0546077151806315,1.1265078,0.343549,0.38701063,,
39,39,,31,1.0546077151806315,1.1265078,0.37285712,0.42002645,,
40,40,,37,1.0546077151806315,1.1265078,0.35805684,0.4033538,0.7567594051361084,0.9606135487556458
41,41,,28,1.0546077151806315,1.1265078,0.3465611,0.39040378,,
42,42,,38,1.0546077151806315,1.1265078,0.34074157,0.38384804,,
43,43,,34,1.0546077151806315,1.1265078,0.3524392,0.3970255,,
44,44,,30,1.0546077151806315,1.1265078,0.32674322,0.36807877,,
45,45,,32,1.0546077151806315,1.1265078,0.35063803,0.39499646,0.7687842845916748,0.8077104687690735
46,46,,25,1.0546077151806315,1.1265078,0.34447867,0.3880579,,
47,47,,27,1.0546077151806315,1.1265078,0.35917035,0.4046082,,
48,48,,34,1.0546077151806315,1.1265078,0.33310482,0.37524515,,
49,49,,35,1.0546077151806315,1.1265078,0.35575518,0.40076098,,
50,50,,32,1.0546077151806315,1.1265078,0.33685246,0.37946692,0.8269494771957397,0.6360194683074951
51,51,,25,1.0546077151806315,1.1265078,0.36749417,0.41398504,,
52,52,,21,1.0546077151806315,1.1265078,0.3745685,0.4219543,,
53,53,,29,1.0546077151806315,1.1265078,0.3447785,0.38839567,,
54,54,,34,1.0546077151806315,1.1265078,0.31441778,0.35419407,,
55,55,,27,1.0546077151806315,1.1265078,0.3272682,0.3686702,0.8131122589111328,0.6740508675575256
56,56,,35,1.0546077151806315,1.1265078,0.31847793,0.35876787,,
57,57,,39,1.0546077151806315,1.1265078,0.3303022,0.37208802,,
58,58,,33,1.0546077151806315,1.1265078,0.33475763,0.37710705,,
59,59,,28,1.0546077151806315,1.1265078,0.3574961,0.40272215,,
60,60,,28,1.0546077151806315,1.1265078,0.33427858,0.37656742,0.8597423434257507,0.5183270573616028
61,61,,25,1.0546077151806315,1.1265078,0.3467981,0.39067075,,
62,62,,31,1.0546077151806315,1.1265078,0.3437688,0.38725823,,
63,63,,31,1.0546077151806315,1.1265078,0.32030788,0.36082932,,
64,64,,31,1.0546077151806315,1.1265078,0.35399497,0.39877808,,
65,65,,29,1.0546077151806315,1.1265078,0.35174134,0.39623934,0.869391679763794,0.4615976810455322
66,66,,31,1.0546077151806315,1.1265078,0.35129917,0.39574122,,
67,67,,27,1.0546077151806315,1.1265078,0.33422372,0.3765056,,
68,68,,28,1.0546077151806315,1.1265078,0.31663138,0.3566877,,
69,69,,36,1.0546077151806315,1.1265078,0.3381718,0.38095316,,
70,70,,37,1.0546077151806315,1.1265078,0.36931092,0.4160316,0.8740203976631165,0.4264315366744995
71,71,,31,1.0546077151806315,1.1265078,0.36128846,0.40699425,,
72,72,,27,1.0546077151806315,1.1265078,0.35201025,0.39654228,,
73,73,,49,1.0546077151806315,1.1265078,0.33087647,0.3727349,,
74,74,,26,1.0546077151806315,1.1265078,0.36567506,0.4119358,,
75,75,,32,1.0546077151806315,1.1265078,0.36593744,0.41223136,0.8994660973548889,0.367931067943573
76,76,,44,1.0546077151806315,1.1265078,0.3745097,0.42188808,,
77,77,,31,1.0546077151806315,1.1265078,0.33887038,0.38174012,,
78,78,,35,1.0546077151806315,1.1265078,0.36279488,0.40869126,,
79,79,,20,1.0546077151806315,1.1265078,0.37108472,0.41802981,,
80,80,,28,1.0546077151806315,1.1265078,0.37001416,0.41682383,0.8840370178222656,0.38283100724220276
81,81,,28,1.0546077151806315,1.1265078,0.34479797,0.3884176,,
82,82,,33,1.0546077151806315,1.1265078,0.3692993,0.41601852,,
83,83,,22,1.0546077151806315,1.1265078,0.34821302,0.39226466,,
84,84,,25,1.0546077151806315,1.1265078,0.35063115,0.39498872,,
85,85,,22,1.0546077151806315,1.1265078,0.33138236,0.3733048,0.8797022104263306,0.4067690968513489
86,86,,28,1.0546077151806315,1.1265078,0.32875764,0.37034804,,
87,87,,28,1.0546077151806315,1.1265078,0.32020703,0.36071572,,
88,88,,28,1.0546077151806315,1.1265078,0.34923726,0.3934185,,
89,89,,28,1.0546077151806315,1.1265078,0.36173657,0.40749905,,
90,90,,25,1.0546077151806315,1.1265078,0.33789065,0.38063645,0.9144543409347534,0.30211570858955383
91,91,,33,1.0546077151806315,1.1265078,0.35701504,0.40218022,,
92,92,,36,1.0546077151806315,1.1265078,0.34591028,0.3896706,,
93,93,,35,1.0546077151806315,1.1265078,0.35014027,0.39443573,,
94,94,,26,1.0546077151806315,1.1265078,0.3466362,0.3904884,,
95,95,,30,1.0546077151806315,1.1265078,0.35238898,0.39696893,0.9115644693374634,0.302126407623291
96,96,,26,1.0546077151806315,1.1265078,0.34816995,0.39221615,,
97,97,,32,1.0546077151806315,1.1265078,0.36667392,0.41306102,,
98,98,,27,1.0546077151806315,1.1265078,0.37646306,0.42408857,,
99,99,,30,1.0546077151806315,1.1265078,0.39484817,0.4447995,,
100,100,,35,1.0546077151806315,1.1265078,0.3602849,0.40586373,0.917956531047821,0.2910005748271942
101,101,,28,1.0546077151806315,1.1265078,0.36263996,0.40851673,,
102,102,,30,1.0546077151806315,1.1265078,0.35334072,0.39804107,,
103,103,,34,1.0546077151806315,1.1265078,0.3689188,0.4155899,,
104,104,,40,1.0546077151806315,1.1265078,0.37143636,0.41842595,,
105,105,,35,1.0546077151806315,1.1265078,0.36365992,0.40966573,0.9179075360298157,0.2818872332572937
106,106,,23,1.0546077151806315,1.1265078,0.35560337,0.40058994,,
107,107,,34,1.0546077151806315,1.1265078,0.36781585,0.4143474,,
108,108,,28,1.0546077151806315,1.1265078,0.366522,0.4128899,,
109,109,,25,1.0546077151806315,1.1265078,0.37960976,0.42763335,,
110,110,,41,1.0546077151806315,1.1265078,0.3595442,0.40502933,0.926969051361084,0.24756892025470734
111,111,,46,1.0546077151806315,1.1265078,0.36687604,0.4132887,,
112,112,,23,1.0546077151806315,1.1265078,0.36302176,0.40894684,,
113,113,,26,1.0546077151806315,1.1265078,0.36875334,0.41540352,,
114,114,,25,1.0546077151806315,1.1265078,0.34152064,0.38472566,,
115,115,,38,1.0546077151806315,1.1265078,0.36978194,0.41656223,0.9311569333076477,0.2296036332845688
116,116,,32,1.0546077151806315,1.1265078,0.35798216,0.40326968,,
117,117,,36,1.0546077151806315,1.1265078,0.32563424,0.36682948,,
118,118,,34,1.0546077151806315,1.1265078,0.33834612,0.38114953,,
119,119,,29,1.0546077151806315,1.1265078,0.36728084,0.41374472,,
120,120,,23,1.0546077151806315,1.1265078,0.35783163,0.4031001,0.9322835206985474,0.226206973195076
121,121,,24,1.0546077151806315,1.1265078,0.37256506,0.41969743,,
122,122,,34,1.0546077151806315,1.1265078,0.35277945,0.39740878,,
