,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,32,0.5896546478271483,0.6013856,0.1,0.060138557,0.09157959371805191,2.306859016418457
1,1,,26,0.5896546478271483,0.6013856,0.10979881,0.066031426,,
2,2,,30,0.5896546478271483,0.6013856,0.11956647,0.07190555,,
3,3,,27,0.5896546478271483,0.6013856,0.12948571,0.07787084,,
4,4,,37,0.5896546478271483,0.6013856,0.14293338,0.08595808,,
5,5,,29,0.5896546478271483,0.6013856,0.15796582,0.09499837,0.19587430357933044,2.2483861446380615
6,6,,25,0.5896546478271483,0.6013856,0.17317641,0.104145795,,
7,7,,28,0.5896546478271483,0.6013856,0.18782626,0.11295601,,
8,8,,35,0.5896546478271483,0.6013856,0.20758013,0.1248357,,
9,9,,26,0.5896546478271483,0.6013856,0.22941154,0.1379648,,
10,10,,23,0.5896546478271483,0.6013856,0.25096855,0.15092887,0.19587430357933044,2.238612651824951
11,11,,28,0.5896546478271483,0.6013856,0.27418002,0.16488792,,
12,12,,30,0.5896546478271483,0.6013856,0.3030158,0.18222934,,
13,13,,25,0.5896546478271483,0.6013856,0.32741567,0.19690306,,
14,14,,22,0.5896546478271483,0.6013856,0.35506615,0.21353167,,
15,15,,25,0.5896546478271483,0.6013856,0.38079908,0.22900708,0.20720651745796204,2.2350425720214844
16,16,,18,0.5896546478271483,0.6013856,0.3959936,0.23814484,,
17,17,,29,0.5896546478271483,0.6013856,0.41239092,0.24800596,,
18,18,,26,0.5896546478271483,0.6013856,0.42762104,0.25716513,,
19,19,,32,0.5896546478271483,0.6013856,0.4155866,0.24992779,,
20,20,,31,0.5896546478271483,0.6013856,0.40804356,0.24539152,0.21558082103729248,2.2089288234710693
21,21,,30,0.5896546478271483,0.6013856,0.40643832,0.24442615,,
22,22,,30,0.5896546478271483,0.6013856,0.41185445,0.24768333,,
23,23,,25,0.5896546478271483,0.6013856,0.4254411,0.25585413,,
24,24,,25,0.5896546478271483,0.6013856,0.41841587,0.2516293,,
25,25,,37,0.5896546478271483,0.6013856,0.41559148,0.24993072,0.24976950883865356,2.13303542137146
26,26,,30,0.5896546478271483,0.6013856,0.40091318,0.24110341,,
27,27,,27,0.5896546478271483,0.6013856,0.42779338,0.2572688,,
28,28,,27,0.5896546478271483,0.6013856,0.42674145,0.25663617,,
29,29,,31,0.5896546478271483,0.6013856,0.43074423,0.25904337,,
30,30,,36,0.5896546478271483,0.6013856,0.43195546,0.2597718,0.25549325346946716,2.044118642807007
31,31,,31,0.5896546478271483,0.6013856,0.40098765,0.2411482,,
32,32,,26,0.5896546478271483,0.6013856,0.42267033,0.25418785,,
33,33,,31,0.5896546478271483,0.6013856,0.42077395,0.2530474,,
34,34,,27,0.5896546478271483,0.6013856,0.40983742,0.24647032,,
35,35,,37,0.5896546478271483,0.6013856,0.42227706,0.25395134,0.3282882571220398,1.91998291015625
36,36,,27,0.5896546478271483,0.6013856,0.3874569,0.23301099,,
37,37,,25,0.5896546478271483,0.6013856,0.394258,0.23710108,,
38,38,,31,0.5896546478271483,0.6013856,0.4155345,0.24989647,,
39,39,,39,0.5896546478271483,0.6013856,0.42567694,0.255996,,
40,40,,23,0.5896546478271483,0.6013856,0.38952973,0.23425756,0.3878687620162964,1.8137277364730835
41,41,,30,0.5896546478271483,0.6013856,0.39145443,0.23541506,,
42,42,,33,0.5896546478271483,0.6013856,0.40813068,0.24544391,,
43,43,,21,0.5896546478271483,0.6013856,0.3985262,0.2396679,,
44,44,,26,0.5896546478271483,0.6013856,0.39617082,0.23825143,,
45,45,,26,0.5896546478271483,0.6013856,0.3735349,0.2246385,0.43239089846611023,1.725509762763977
46,46,,38,0.5896546478271483,0.6013856,0.40339932,0.24259853,,
47,47,,36,0.5896546478271483,0.6013856,0.402587,0.24211001,,
48,48,,22,0.5896546478271483,0.6013856,0.40002975,0.24057212,,
49,49,,24,0.5896546478271483,0.6013856,0.4037379,0.24280216,,
50,50,,24,0.5896546478271483,0.6013856,0.39806393,0.23938991,0.45586201548576355,1.6845136880874634
51,51,,27,0.5896546478271483,0.6013856,0.38534465,0.23174073,,
52,52,,31,0.5896546478271483,0.6013856,0.4138786,0.24890062,,
53,53,,31,0.5896546478271483,0.6013856,0.3824419,0.22999506,,
54,54,,32,0.5896546478271483,0.6013856,0.39701673,0.23876014,,
55,55,,22,0.5896546478271483,0.6013856,0.4116372,0.24755268,0.46730947494506836,1.6143348217010498
56,56,,26,0.5896546478271483,0.6013856,0.3914962,0.23544018,,
57,57,,32,0.5896546478271483,0.6013856,0.41018656,0.24668029,,
58,58,,42,0.5896546478271483,0.6013856,0.38982457,0.23443487,,
59,59,,37,0.5896546478271483,0.6013856,0.42815083,0.25748375,,
60,60,,27,0.5896546478271483,0.6013856,0.41081396,0.2470576,0.507759690284729,1.5019217729568481
61,61,,25,0.5896546478271483,0.6013856,0.39079875,0.23502074,,
62,62,,32,0.5896546478271483,0.6013856,0.40927887,0.24613442,,
63,63,,27,0.5896546478271483,0.6013856,0.43248507,0.2600903,,
64,64,,27,0.5896546478271483,0.6013856,0.41420054,0.24909423,,
65,65,,22,0.5896546478271483,0.6013856,0.4185523,0.25171134,0.5568531155586243,1.406178593635559
66,66,,29,0.5896546478271483,0.6013856,0.4252098,0.25571504,,
67,67,,31,0.5896546478271483,0.6013856,0.42329282,0.2545622,,
68,68,,28,0.5896546478271483,0.6013856,0.43663293,0.26258475,,
69,69,,34,0.5896546478271483,0.6013856,0.43602237,0.26221758,,
70,70,,27,0.5896546478271483,0.6013856,0.40167594,0.24156213,0.5830132365226746,1.334005355834961
71,71,,37,0.5896546478271483,0.6013856,0.43195492,0.25977147,,
72,72,,30,0.5896546478271483,0.6013856,0.41634446,0.25038356,,
73,73,,47,0.5896546478271483,0.6013856,0.40421602,0.24308969,,
74,74,,25,0.5896546478271483,0.6013856,0.4467278,0.26865566,,
75,75,,30,0.5896546478271483,0.6013856,0.42551923,0.25590113,0.5956898927688599,1.2706166505813599
76,76,,25,0.5896546478271483,0.6013856,0.4406664,0.26501042,,
77,77,,35,0.5896546478271483,0.6013856,0.4170124,0.25078523,,
78,78,,29,0.5896546478271483,0.6013856,0.4137702,0.24883543,,
79,79,,28,0.5896546478271483,0.6013856,0.39038953,0.23477463,,
80,80,,36,0.5896546478271483,0.6013856,0.42949247,0.2582906,0.631645679473877,1.1950159072875977
81,81,,36,0.5896546478271483,0.6013856,0.45373312,0.27286857,,
82,82,,32,0.5896546478271483,0.6013856,0.4264892,0.25648445,,
83,83,,23,0.5896546478271483,0.6013856,0.43693048,0.2627637,,
84,84,,30,0.5896546478271483,0.6013856,0.4314558,0.2594713,,
85,85,,29,0.5896546478271483,0.6013856,0.45403183,0.2730482,0.6555777788162231,1.1437629461288452
86,86,,29,0.5896546478271483,0.6013856,0.44667745,0.26862538,,
87,87,,31,0.5896546478271483,0.6013856,0.41042134,0.24682148,,
88,88,,25,0.5896546478271483,0.6013856,0.4353664,0.2618231,,
89,89,,27,0.5896546478271483,0.6013856,0.43740848,0.26305115,,
90,90,,31,0.5896546478271483,0.6013856,0.43653283,0.26252455,0.6600722074508667,1.110640287399292
91,91,,34,0.5896546478271483,0.6013856,0.45618817,0.27434498,,
92,92,,24,0.5896546478271483,0.6013856,0.4442041,0.26713794,,
93,93,,31,0.5896546478271483,0.6013856,0.4420703,0.26585472,,
94,94,,32,0.5896546478271483,0.6013856,0.4140847,0.24902457,,
95,95,,32,0.5896546478271483,0.6013856,0.445695,0.26803455,0.6644130349159241,1.0800118446350098
96,96,,28,0.5896546478271483,0.6013856,0.44352895,0.26673192,,
97,97,,28,0.5896546478271483,0.6013856,0.45991713,0.27658755,,
98,98,,26,0.5896546478271483,0.6013856,0.43581182,0.26209095,,
99,99,,34,0.5896546478271483,0.6013856,0.43316764,0.2605008,,
