,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,21,0.640616455078125,0.6557414,0.1,0.06557414,0.09615088999271393,2.3167614936828613
1,1,,22,0.640616455078125,0.6557414,0.10606217,0.06954935,,
2,2,,25,0.640616455078125,0.6557414,0.11155724,0.0731527,,
3,3,,36,0.640616455078125,0.6557414,0.119390935,0.078289576,,
4,4,,34,0.640616455078125,0.6557414,0.1319474,0.08652337,,
5,5,,36,0.640616455078125,0.6557414,0.14582443,0.09562311,0.1958358883857727,2.261197328567505
6,6,,35,0.640616455078125,0.6557414,0.16116093,0.10567989,,
7,7,,33,0.640616455078125,0.6557414,0.17811038,0.11679435,,
8,8,,26,0.640616455078125,0.6557414,0.19522086,0.1280144,,
9,9,,33,0.640616455078125,0.6557414,0.21258546,0.1394011,,
10,10,,38,0.640616455078125,0.6557414,0.2342802,0.15362722,0.19587430357933044,2.2370283603668213
11,11,,33,0.640616455078125,0.6557414,0.2589197,0.16978435,,
12,12,,26,0.640616455078125,0.6557414,0.28615052,0.18764074,,
13,13,,26,0.640616455078125,0.6557414,0.3155442,0.20691538,,
14,14,,34,0.640616455078125,0.6557414,0.34685126,0.22744472,,
15,15,,22,0.640616455078125,0.6557414,0.38332993,0.2513653,0.19587430357933044,2.23530912399292
16,16,,26,0.640616455078125,0.6557414,0.37212166,0.24401557,,
17,17,,35,0.640616455078125,0.6557414,0.38643298,0.2534001,,
18,18,,23,0.640616455078125,0.6557414,0.37609276,0.2466196,,
19,19,,29,0.640616455078125,0.6557414,0.38727313,0.253951,,
20,20,,24,0.640616455078125,0.6557414,0.3958536,0.2595776,0.1960279643535614,2.2199599742889404
21,21,,18,0.640616455078125,0.6557414,0.38686067,0.25368056,,
22,22,,33,0.640616455078125,0.6557414,0.3917348,0.25687674,,
23,23,,30,0.640616455078125,0.6557414,0.40415916,0.2650239,,
24,24,,25,0.640616455078125,0.6557414,0.3860468,0.25314686,,
25,25,,26,0.640616455078125,0.6557414,0.38329804,0.25134438,0.20505531132221222,2.1880855560302734
26,26,,31,0.640616455078125,0.6557414,0.38899162,0.2550779,,
27,27,,27,0.640616455078125,0.6557414,0.3908716,0.2563107,,
28,28,,29,0.640616455078125,0.6557414,0.3966429,0.26009515,,
29,29,,29,0.640616455078125,0.6557414,0.3941236,0.25844318,,
30,30,,24,0.640616455078125,0.6557414,0.39425328,0.2585282,0.23125384747982025,2.1381425857543945
31,31,,36,0.640616455078125,0.6557414,0.38424852,0.25196767,,
32,32,,29,0.640616455078125,0.6557414,0.40267748,0.2640523,,
33,33,,26,0.640616455078125,0.6557414,0.39487886,0.2589384,,
34,34,,31,0.640616455078125,0.6557414,0.39305684,0.25774363,,
35,35,,31,0.640616455078125,0.6557414,0.3924998,0.25737837,0.27738937735557556,2.0714519023895264
36,36,,42,0.640616455078125,0.6557414,0.39054063,0.25609365,,
37,37,,21,0.640616455078125,0.6557414,0.4090942,0.26826,,
38,38,,46,0.640616455078125,0.6557414,0.40032437,0.26250926,,
39,39,,24,0.640616455078125,0.6557414,0.39967167,0.26208127,,
40,40,,37,0.640616455078125,0.6557414,0.39315736,0.25780955,0.3111554980278015,1.9791147708892822
41,41,,31,0.640616455078125,0.6557414,0.42021605,0.27555305,,
42,42,,27,0.640616455078125,0.6557414,0.39545783,0.25931808,,
43,43,,25,0.640616455078125,0.6557414,0.4118061,0.2700383,,
44,44,,23,0.640616455078125,0.6557414,0.40495905,0.2655484,,
45,45,,24,0.640616455078125,0.6557414,0.41356865,0.27119407,0.33977413177490234,1.9236727952957153
46,46,,25,0.640616455078125,0.6557414,0.4189825,0.27474418,,
47,47,,28,0.640616455078125,0.6557414,0.41832942,0.27431592,,
48,48,,34,0.640616455078125,0.6557414,0.39675832,0.26017085,,
49,49,,32,0.640616455078125,0.6557414,0.41283897,0.2707156,,
50,50,,14,0.640616455078125,0.6557414,0.39765674,0.26075998,0.34741857647895813,1.8881313800811768
51,51,,30,0.640616455078125,0.6557414,0.40947616,0.26851046,,
52,52,,25,0.640616455078125,0.6557414,0.41845372,0.27439743,,
53,53,,37,0.640616455078125,0.6557414,0.41472903,0.27195498,,
54,54,,37,0.640616455078125,0.6557414,0.40118977,0.26307675,,
55,55,,36,0.640616455078125,0.6557414,0.43416378,0.28469917,0.4030808210372925,1.7721478939056396
56,56,,31,0.640616455078125,0.6557414,0.41282693,0.2707077,,
57,57,,28,0.640616455078125,0.6557414,0.41854703,0.27445862,,
58,58,,24,0.640616455078125,0.6557414,0.4014315,0.26323524,,
59,59,,29,0.640616455078125,0.6557414,0.4166436,0.27321044,,
60,60,,37,0.640616455078125,0.6557414,0.41295853,0.270794,0.49665796756744385,1.6021180152893066
61,61,,28,0.640616455078125,0.6557414,0.40650734,0.26656368,,
62,62,,24,0.640616455078125,0.6557414,0.40569475,0.26603085,,
63,63,,25,0.640616455078125,0.6557414,0.4264011,0.27960885,,
64,64,,38,0.640616455078125,0.6557414,0.40866917,0.2679813,,
65,65,,30,0.640616455078125,0.6557414,0.40595186,0.26619944,0.5113322138786316,1.55668306350708
66,66,,32,0.640616455078125,0.6557414,0.4120947,0.27022755,,
67,67,,34,0.640616455078125,0.6557414,0.3962014,0.25980565,,
68,68,,26,0.640616455078125,0.6557414,0.39301392,0.2577155,,
69,69,,28,0.640616455078125,0.6557414,0.42723337,0.28015462,,
70,70,,35,0.640616455078125,0.6557414,0.40984902,0.26875496,0.46834665536880493,1.5976388454437256
71,71,,36,0.640616455078125,0.6557414,0.42930776,0.28151485,,
72,72,,27,0.640616455078125,0.6557414,0.4307238,0.2824434,,
73,73,,36,0.640616455078125,0.6557414,0.41312733,0.2709047,,
74,74,,28,0.640616455078125,0.6557414,0.42140755,0.27633438,,
75,75,,38,0.640616455078125,0.6557414,0.42695662,0.27997312,0.48582515120506287,1.5318816900253296
76,76,,29,0.640616455078125,0.6557414,0.42319614,0.27750722,,
77,77,,30,0.640616455078125,0.6557414,0.38989273,0.2556688,,
78,78,,23,0.640616455078125,0.6557414,0.4215186,0.27640718,,
79,79,,34,0.640616455078125,0.6557414,0.4090746,0.26824716,,
80,80,,27,0.640616455078125,0.6557414,0.41567263,0.27257374,0.5509757399559021,1.3929435014724731
81,81,,26,0.640616455078125,0.6557414,0.42400202,0.27803567,,
82,82,,21,0.640616455078125,0.6557414,0.42801484,0.28066704,,
83,83,,23,0.640616455078125,0.6557414,0.42273173,0.2772027,,
84,84,,26,0.640616455078125,0.6557414,0.44249815,0.29016435,,
85,85,,15,0.640616455078125,0.6557414,0.4133335,0.2710399,0.5933850407600403,1.3078397512435913
86,86,,33,0.640616455078125,0.6557414,0.4139404,0.27143785,,
87,87,,27,0.640616455078125,0.6557414,0.39504004,0.2590441,,
88,88,,25,0.640616455078125,0.6557414,0.42118636,0.27618933,,
89,89,,20,0.640616455078125,0.6557414,0.42820004,0.28078848,,
90,90,,24,0.640616455078125,0.6557414,0.42004505,0.27544093,0.5974953770637512,1.291731595993042
91,91,,28,0.640616455078125,0.6557414,0.42850327,0.28098732,,
92,92,,39,0.640616455078125,0.6557414,0.44470447,0.29161114,,
93,93,,24,0.640616455078125,0.6557414,0.4418667,0.28975028,,
94,94,,26,0.640616455078125,0.6557414,0.41419083,0.27160206,,
95,95,,25,0.640616455078125,0.6557414,0.43903252,0.2878918,0.6274968981742859,1.2106925249099731
96,96,,37,0.640616455078125,0.6557414,0.4270574,0.2800392,,
97,97,,34,0.640616455078125,0.6557414,0.4269109,0.27994314,,
98,98,,31,0.640616455078125,0.6557414,0.43873832,0.28769886,,
99,99,,28,0.640616455078125,0.6557414,0.43681782,0.28643954,,
100,100,,20,0.640616455078125,0.6557414,0.42011335,0.27548572,0.6187384724617004,1.2103885412216187
101,101,,41,0.640616455078125,0.6557414,0.4363207,0.28611353,,
102,102,,38,0.640616455078125,0.6557414,0.43649295,0.28622648,,
103,103,,23,0.640616455078125,0.6557414,0.4685308,0.30723503,,
104,104,,36,0.640616455078125,0.6557414,0.46084648,0.30219612,,
105,105,,36,0.640616455078125,0.6557414,0.42460912,0.27843377,0.6424784660339355,1.1719319820404053
106,106,,21,0.640616455078125,0.6557414,0.45927608,0.30116633,,
107,107,,28,0.640616455078125,0.6557414,0.45538697,0.29861608,,
108,108,,30,0.640616455078125,0.6557414,0.4561593,0.29912254,,
109,109,,28,0.640616455078125,0.6557414,0.44181737,0.28971794,,
110,110,,31,0.640616455078125,0.6557414,0.4314694,0.28293234,0.6649124026298523,1.0859756469726562
111,111,,25,0.640616455078125,0.6557414,0.4542418,0.29786515,,
112,112,,29,0.640616455078125,0.6557414,0.44420233,0.29128185,,
113,113,,36,0.640616455078125,0.6557414,0.4071749,0.26700142,,
114,114,,34,0.640616455078125,0.6557414,0.43350124,0.2842647,,
115,115,,37,0.640616455078125,0.6557414,0.42624173,0.27950433,0.680086076259613,1.05228590965271
116,116,,28,0.640616455078125,0.6557414,0.4638481,0.3041644,,
117,117,,25,0.640616455078125,0.6557414,0.42969444,0.28176844,,
118,118,,32,0.640616455078125,0.6557414,0.47046292,0.30850202,,
119,119,,30,0.640616455078125,0.6557414,0.4661736,0.3056893,,
120,120,,33,0.640616455078125,0.6557414,0.46957317,0.30791858,0.672633707523346,1.0659488439559937
121,121,,28,0.640616455078125,0.6557414,0.44195014,0.289805,,
122,122,,35,0.640616455078125,0.6557414,0.45743465,0.29995883,,
123,123,,23,0.640616455078125,0.6557414,0.47002247,0.3082132,,
124,124,,29,0.640616455078125,0.6557414,0.43061563,0.2823725,,
125,125,,29,0.640616455078125,0.6557414,0.4271229,0.28008217,0.6831976175308228,1.0363013744354248
