,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,,,,,0.15953442454338074,2.3009769916534424
1,1,,30,,,,,,
2,2,,30,,,,,,
3,3,,30,,,,,,
4,4,,30,,,,,,
5,5,,30,,,,,0.19579747319221497,2.2347397804260254
6,6,,30,,,,,,
7,7,,30,,,,,,
8,8,,30,,,,,,
9,9,,30,,,,,,
10,10,,30,,,,,0.19833281636238098,2.2210493087768555
11,11,,30,,,,,,
12,12,,30,,,,,,
13,13,,30,,,,,,
14,14,,30,,,,,,
15,15,,30,,,,,0.20509372651576996,2.173044204711914
16,16,,30,,,,,,
17,17,,30,,,,,,
18,18,,30,,,,,,
19,19,,30,,,,,,
20,20,,30,,,,,0.28288260102272034,2.0735998153686523
21,21,,30,,,,,,
22,22,,30,,,,,,
23,23,,30,,,,,,
24,24,,30,,,,,,
25,25,,30,,,,,0.3451521098613739,1.93846595287323
26,26,,30,,,,,,
27,27,,30,,,,,,
28,28,,30,,,,,,
29,29,,30,,,,,,
30,30,,30,,,,,0.4264366924762726,1.760467767715454
31,31,,30,,,,,,
32,32,,30,,,,,,
33,33,,30,,,,,,
34,34,,30,,,,,,
35,35,,30,,,,,0.4870928227901459,1.5882923603057861
36,36,,30,,,,,,
37,37,,30,,,,,,
38,38,,30,,,,,,
39,39,,30,,,,,,
40,40,,30,,,,,0.5526659488677979,1.423018455505371
41,41,,30,,,,,,
42,42,,30,,,,,,
43,43,,30,,,,,,
44,44,,30,,,,,,
45,45,,30,,,,,0.6111324429512024,1.2786941528320312
46,46,,30,,,,,,
47,47,,30,,,,,,
48,48,,30,,,,,,
49,49,,30,,,,,,
50,50,,30,,,,,0.6445528864860535,1.178892731666565
51,51,,30,,,,,,
52,52,,30,,,,,,
53,53,,30,,,,,,
54,54,,30,,,,,,
55,55,,30,,,,,0.6736324429512024,1.0916032791137695
56,56,,30,,,,,,
57,57,,30,,,,,,
58,58,,30,,,,,,
59,59,,30,,,,,,
60,60,,30,,,,,0.7004072070121765,1.0167202949523926
61,61,,30,,,,,,
62,62,,30,,,,,,
63,63,,30,,,,,,
64,64,,30,,,,,,
65,65,,30,,,,,0.7178472876548767,0.9601978063583374
66,66,,30,,,,,,
67,67,,30,,,,,,
68,68,,30,,,,,,
69,69,,30,,,,,,
70,70,,30,,,,,0.7347879409790039,0.9136059284210205
71,71,,30,,,,,,
72,72,,30,,,,,,
73,73,,30,,,,,,
74,74,,30,,,,,,
75,75,,30,,,,,0.7429701685905457,0.8801124691963196
76,76,,30,,,,,,
77,77,,30,,,,,,
78,78,,30,,,,,,
79,79,,30,,,,,,
80,80,,30,,,,,0.755070686340332,0.8473472595214844
81,81,,30,,,,,,
82,82,,30,,,,,,
83,83,,30,,,,,,
84,84,,30,,,,,,
85,85,,30,,,,,0.7609865069389343,0.8265597224235535
86,86,,30,,,,,,
87,87,,30,,,,,,
88,88,,30,,,,,,
89,89,,30,,,,,,
90,90,,30,,,,,0.7668254375457764,0.8067790269851685
91,91,,30,,,,,,
92,92,,30,,,,,,
93,93,,30,,,,,,
94,94,,30,,,,,,
95,95,,30,,,,,0.7760832905769348,0.7806370854377747
96,96,,30,,,,,,
97,97,,30,,,,,,
98,98,,30,,,,,,
99,99,,30,,,,,,
100,100,,30,,,,,0.7810003161430359,0.7646516561508179
101,101,,30,,,,,,
102,102,,30,,,,,,
103,103,,30,,,,,,
104,104,,30,,,,,,
105,105,,30,,,,,0.7857252359390259,0.7525017857551575
106,106,,30,,,,,,
107,107,,30,,,,,,
108,108,,30,,,,,,
109,109,,30,,,,,,
110,110,,30,,,,,0.7898355722427368,0.7386475205421448
111,111,,30,,,,,,
112,112,,30,,,,,,
113,113,,30,,,,,,
114,114,,30,,,,,,
115,115,,30,,,,,0.7928703427314758,0.726685643196106
116,116,,30,,,,,,
117,117,,30,,,,,,
118,118,,30,,,,,,
119,119,,30,,,,,,
120,120,,30,,,,,0.7947142124176025,0.7191214561462402
121,121,,30,,,,,,
122,122,,30,,,,,,
123,123,,30,,,,,,
124,124,,30,,,,,,
125,125,,30,,,,,0.7979025840759277,0.7070482969284058
126,126,,30,,,,,,
127,127,,30,,,,,,
128,128,,30,,,,,,
129,129,,30,,,,,,
130,130,,30,,,,,0.8013982772827148,0.695448100566864
131,131,,30,,,,,,
132,132,,30,,,,,,
133,133,,30,,,,,,
134,134,,30,,,,,,
135,135,,30,,,,,0.8018208146095276,0.6915138363838196
136,136,,30,,,,,,
137,137,,30,,,,,,
138,138,,30,,,,,,
139,139,,30,,,,,,
