,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,27,0.5000512780637755,0.50714606,0.1,0.050714605,0.15680700540542603,2.29618763923645
1,1,,38,0.5000512780637755,0.50714606,0.11042402,0.05600111,,
2,2,,19,0.5000512780637755,0.50714606,0.12203742,0.061890796,,
3,3,,30,0.5000512780637755,0.50714606,0.1288652,0.065353476,,
4,4,,35,0.5000512780637755,0.50714606,0.14138131,0.071700975,,
5,5,,34,0.5000512780637755,0.50714606,0.15625052,0.079241835,0.18219883739948273,2.249619722366333
6,6,,30,0.5000512780637755,0.50714606,0.17268354,0.08757578,,
7,7,,39,0.5000512780637755,0.50714606,0.19084483,0.09678621,,
8,8,,26,0.5000512780637755,0.50714606,0.21091618,0.10696531,,
9,9,,35,0.5000512780637755,0.50714606,0.23259625,0.117960274,,
10,10,,39,0.5000512780637755,0.50714606,0.25705862,0.13036627,0.19595113396644592,2.2385823726654053
11,11,,30,0.5000512780637755,0.50714606,0.28409374,0.14407702,,
12,12,,23,0.5000512780637755,0.50714606,0.31397215,0.15922974,,
13,13,,24,0.5000512780637755,0.50714606,0.33601132,0.17040682,,
14,14,,32,0.5000512780637755,0.50714606,0.36433885,0.18477301,,
15,15,,35,0.5000512780637755,0.50714606,0.38675943,0.19614352,0.2011754810810089,2.2327382564544678
16,16,,25,0.5000512780637755,0.50714606,0.367361,0.18630569,,
17,17,,38,0.5000512780637755,0.50714606,0.37619013,0.19078334,,
18,18,,31,0.5000512780637755,0.50714606,0.36566797,0.18544707,,
19,19,,28,0.5000512780637755,0.50714606,0.38055274,0.19299582,,
20,20,,28,0.5000512780637755,0.50714606,0.3799776,0.19270416,0.2294483780860901,2.22680401802063
21,21,,26,0.5000512780637755,0.50714606,0.37624946,0.19081344,,
22,22,,22,0.5000512780637755,0.50714606,0.38874626,0.19715114,,
23,23,,28,0.5000512780637755,0.50714606,0.3864724,0.19599795,,
24,24,,34,0.5000512780637755,0.50714606,0.38238782,0.19392647,,
25,25,,30,0.5000512780637755,0.50714606,0.40895632,0.20740059,0.22572219371795654,2.204871416091919
26,26,,31,0.5000512780637755,0.50714606,0.38485232,0.19517633,,
27,27,,26,0.5000512780637755,0.50714606,0.39188036,0.19874059,,
28,28,,36,0.5000512780637755,0.50714606,0.37960792,0.19251665,,
29,29,,33,0.5000512780637755,0.50714606,0.40037832,0.20305029,,
30,30,,33,0.5000512780637755,0.50714606,0.41288984,0.20939545,0.25564688444137573,2.1501870155334473
31,31,,28,0.5000512780637755,0.50714606,0.3895377,0.1975525,,
32,32,,25,0.5000512780637755,0.50714606,0.40578657,0.20579307,,
33,33,,31,0.5000512780637755,0.50714606,0.4040468,0.20491074,,
34,34,,36,0.5000512780637755,0.50714606,0.39562932,0.20064186,,
35,35,,26,0.5000512780637755,0.50714606,0.38572437,0.1956186,0.23436540365219116,2.085594892501831
36,36,,34,0.5000512780637755,0.50714606,0.38536498,0.19543633,,
37,37,,26,0.5000512780637755,0.50714606,0.406103,0.20595352,,
38,38,,35,0.5000512780637755,0.50714606,0.3847032,0.19510071,,
39,39,,23,0.5000512780637755,0.50714606,0.36010373,0.18262519,,
40,40,,33,0.5000512780637755,0.50714606,0.38856167,0.19705752,0.3207590579986572,1.9891871213912964
41,41,,30,0.5000512780637755,0.50714606,0.39213175,0.19886807,,
42,42,,22,0.5000512780637755,0.50714606,0.38310084,0.19428807,,
43,43,,46,0.5000512780637755,0.50714606,0.36733878,0.1862944,,
44,44,,28,0.5000512780637755,0.50714606,0.35490257,0.17998743,,
