,round,round_time,sampled_clients,noise_multiplier,noise_multiplier_after_adaptive_clipping,update_clipping_norm,update_stddev,accuracy,loss
0,0,,30,0.7572127102147507,0.7825502,0.1,0.07825502,0.06699446588754654,2.342426061630249
1,1,,32,0.7572127102147507,0.7825502,0.10930914,0.08553989,,
2,2,,31,0.7572127102147507,0.7825502,0.120805286,0.0945362,,
3,3,,30,0.7572127102147507,0.7825502,0.1335105,0.10447867,,
4,4,,29,0.7572127102147507,0.7825502,0.14578842,0.114086755,,
5,5,,36,0.7572127102147507,0.7825502,0.15875496,0.12423373,0.1958358883857727,2.2668209075927734
6,6,,36,0.7572127102147507,0.7825502,0.17545137,0.13729951,,
7,7,,26,0.7572127102147507,0.7825502,0.19390376,0.15173943,,
8,8,,29,0.7572127102147507,0.7825502,0.21044014,0.16467997,,
9,9,,28,0.7572127102147507,0.7825502,0.23257233,0.18199953,,
10,10,,38,0.7572127102147507,0.7825502,0.2570322,0.2011406,0.19587430357933044,2.241267442703247
11,11,,29,0.7572127102147507,0.7825502,0.2840645,0.22229473,,
12,12,,23,0.7572127102147507,0.7825502,0.31393984,0.24567369,,
13,13,,22,0.7572127102147507,0.7825502,0.33987162,0.2659666,,
14,14,,27,0.7572127102147507,0.7825502,0.36572802,0.28620055,,
15,15,,30,0.7572127102147507,0.7825502,0.40144235,0.31414878,0.1954517513513565,2.2337958812713623
16,16,,18,0.7572127102147507,0.7825502,0.41702032,0.32633933,,
17,17,,29,0.7572127102147507,0.7825502,0.41717726,0.32646215,,
18,18,,23,0.7572127102147507,0.7825502,0.4027395,0.31516388,,
19,19,,31,0.7572127102147507,0.7825502,0.39382017,0.30818406,,
20,20,,31,0.7572127102147507,0.7825502,0.4012083,0.31396565,0.19837123155593872,2.2298061847686768
21,21,,36,0.7572127102147507,0.7825502,0.40628073,0.31793508,,
22,22,,21,0.7572127102147507,0.7825502,0.39126918,0.30618778,,
23,23,,28,0.7572127102147507,0.7825502,0.3975133,0.3110741,,
24,24,,21,0.7572127102147507,0.7825502,0.3981945,0.31160718,,
25,25,,28,0.7572127102147507,0.7825502,0.41192466,0.32235172,0.2199600487947464,2.211887836456299
26,26,,37,0.7572127102147507,0.7825502,0.40292507,0.3153091,,
27,27,,29,0.7572127102147507,0.7825502,0.41528174,0.32497883,,
28,28,,31,0.7572127102147507,0.7825502,0.39823696,0.3116404,,
29,29,,30,0.7572127102147507,0.7825502,0.42258814,0.33069643,,
30,30,,30,0.7572127102147507,0.7825502,0.42002,0.32868674,0.22948677837848663,2.177197217941284
31,31,,28,0.7572127102147507,0.7825502,0.40016523,0.3131494,,
32,32,,20,0.7572127102147507,0.7825502,0.41607037,0.32559595,,
33,33,,36,0.7572127102147507,0.7825502,0.41564956,0.32526666,,
34,34,,18,0.7572127102147507,0.7825502,0.4350851,0.34047592,,
35,35,,41,0.7572127102147507,0.7825502,0.42186114,0.33012754,0.2648279070854187,2.0862112045288086
36,36,,25,0.7572127102147507,0.7825502,0.41812786,0.32720605,,
37,37,,28,0.7572127102147507,0.7825502,0.41427913,0.32419422,,
38,38,,32,0.7572127102147507,0.7825502,0.40955618,0.3204983,,
39,39,,28,0.7572127102147507,0.7825502,0.4296122,0.3361931,,
40,40,,29,0.7572127102147507,0.7825502,0.43049696,0.33688548,0.3342808783054352,1.982772946357727
41,41,,39,0.7572127102147507,0.7825502,0.4307508,0.3370841,,
42,42,,33,0.7572127102147507,0.7825502,0.41565987,0.32527474,,
43,43,,30,0.7572127102147507,0.7825502,0.40736043,0.31878,,
44,44,,36,0.7572127102147507,0.7825502,0.41382903,0.323842,,
45,45,,30,0.7572127102147507,0.7825502,0.38170895,0.2987064,0.30036109685897827,1.9251062870025635
46,46,,28,0.7572127102147507,0.7825502,0.39427134,0.30853713,,
47,47,,26,0.7572127102147507,0.7825502,0.41480172,0.32460317,,
48,48,,29,0.7572127102147507,0.7825502,0.39383653,0.30819687,,
49,49,,26,0.7572127102147507,0.7825502,0.3993571,0.312517,,
50,50,,32,0.7572127102147507,0.7825502,0.39101624,0.30598986,0.4196757972240448,1.7612617015838623
51,51,,30,0.7572127102147507,0.7825502,0.38279772,0.29955843,,
52,52,,29,0.7572127102147507,0.7825502,0.38820082,0.30378664,,
53,53,,28,0.7572127102147507,0.7825502,0.4022766,0.31480163,,
54,54,,29,0.7572127102147507,0.7825502,0.3918772,0.3066636,,
55,55,,29,0.7572127102147507,0.7825502,0.38854527,0.3040562,0.40665334463119507,1.7167881727218628
56,56,,30,0.7572127102147507,0.7825502,0.38483125,0.3011498,,
57,57,,31,0.7572127102147507,0.7825502,0.37735632,0.29530028,,
58,58,,28,0.7572127102147507,0.7825502,0.40745956,0.31885755,,
59,59,,31,0.7572127102147507,0.7825502,0.38922402,0.30458733,,
60,60,,40,0.7572127102147507,0.7825502,0.39663178,0.31038427,0.5111401081085205,1.5742647647857666
61,61,,30,0.7572127102147507,0.7825502,0.43834594,0.3430277,,
62,62,,25,0.7572127102147507,0.7825502,0.3966318,0.3103843,,
63,63,,28,0.7572127102147507,0.7825502,0.38780132,0.303474,,
64,64,,26,0.7572127102147507,0.7825502,0.38927582,0.30462787,,
65,65,,25,0.7572127102147507,0.7825502,0.4058042,0.31756216,0.5080670118331909,1.5379849672317505
66,66,,22,0.7572127102147507,0.7825502,0.4011649,0.31393167,,
67,67,,22,0.7572127102147507,0.7825502,0.38959867,0.30488053,,
68,68,,27,0.7572127102147507,0.7825502,0.41380996,0.32382706,,
69,69,,33,0.7572127102147507,0.7825502,0.43259522,0.33852747,,
70,70,,44,0.7572127102147507,0.7825502,0.40332758,0.3156241,0.505224347114563,1.4897416830062866
71,71,,31,0.7572127102147507,0.7825502,0.39355567,0.30797708,,
72,72,,34,0.7572127102147507,0.7825502,0.42227298,0.33044982,,
73,73,,31,0.7572127102147507,0.7825502,0.4174562,0.32668045,,
74,74,,27,0.7572127102147507,0.7825502,0.444438,0.34779507,,
75,75,,22,0.7572127102147507,0.7825502,0.40808657,0.31934825,0.586547315120697,1.3446189165115356
76,76,,25,0.7572127102147507,0.7825502,0.4376928,0.3425166,,
77,77,,32,0.7572127102147507,0.7825502,0.43919852,0.3436949,,
78,78,,23,0.7572127102147507,0.7825502,0.41022885,0.3210247,,
79,79,,32,0.7572127102147507,0.7825502,0.42539486,0.33289284,,
